Hospital,N,Accuracy,Selection_Rate,True_Rate,DI_RACE,WTPR_RACE,DI_AGE_GROUP,WTPR_AGE_GROUP
114001,1850,0.8389189189189189,0.432972972972973,0.4664864864864865,0.7521367521367521,0.7065217391304348,0.5067777390090719,0.7550335570469798
117000,1733,0.9076745527986151,0.4899019042123485,0.48066935949221,0.0,0.8529411764705882,,
118000,3019,0.8323948327260683,0.4965220271613117,0.514408744617423,0.0,0.7890295358649789,0.5899037086471541,0.7971737323358271
119000,999,0.8478478478478478,0.4874874874874875,0.4894894894894895,0.7123287671232877,0.8292682926829268,0.496274217585693,0.7893175074183977
121000,152,0.8552631578947368,0.3684210526315789,0.34210526315789475,0.5181818181818182,0.75,0.2890625,0.75
124000,3194,0.8199749530369442,0.6653099561678146,0.5679398872886663,0.8208848649821489,0.9117647058823529,0.6863634198618719,0.9129429892141756
126000,202,0.8316831683168316,0.2376237623762376,0.32673267326732675,0.5555555555555555,0.5625,0.28641975308641976,0.5227272727272727
129000,670,0.844776119402985,0.5552238805970149,0.5283582089552239,0.57997557997558,0.5,0.5383848454636092,0.8333333333333334
130000,1654,0.871825876662636,0.3875453446191052,0.2968561064087062,0.5672131147540983,0.8333333333333334,0.3266320021893354,0.9127725856697819
134001,1567,0.8430121250797703,0.4135290363752393,0.34716017868538607,0.6462046204620462,0.6666666666666666,0.36414839506882385,0.8006230529595015
137000,229,0.8122270742358079,0.38427947598253276,0.4759825327510917,0.5010351966873706,0.6575342465753424,0.3732057416267943,0.6231884057971014
140002,427,0.7822014051522248,0.7002341920374707,0.6088992974238876,0.6973995271867612,0.89453125,0.6440677966101694,0.8669950738916257
141000,202,0.8712871287128713,0.44554455445544555,0.43564356435643564,0.49253731343283585,0.8,0.38537549407114624,0.775
142000,1096,0.822992700729927,0.4197080291970803,0.49635036496350365,0.0,0.6216216216216216,0.4525700517579868,0.688
143000,785,0.8636942675159236,0.5375796178343949,0.42929936305732486,0.4326530612244898,0.9583333333333334,,
