Seed,Accuracy,AUC,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
71,0.867807767556992,0.9456267672294141,0.6484471925693507,0,0.17513131091640394,0,0.06873062212868042,1,0.06873062212868042,1,0.004974173439241732,1,0.09680450986155387,1,0.11202174705080692,0,0.7542588633730342,0,0.12730168087539018,0,0.04095562817426568,1,0.05495335531130896,1,0.003345054538790422,1,0.0017802044644460446,1,0.046352350960341016,1,0.821954643825959,1,0.08187181511575753,1,0.028051739038185808,1,0.03102188972082745,1,0.001838446374845995,1,0.002283047535785343,1,0.02958761396515308,1,0.2685523148331235,0,0.45278205826449736,0,0.22964169517685362,0,0.22964169517685362,0,0.012270873824057484,1,0.06893534927542733,1,0.08939121211504752,0
78,0.8676618421194859,0.9455046623039184,0.6564500425265232,0,0.17126323599968757,0,0.06440161779967601,1,0.06440161779967601,1,0.005118952574315293,1,0.10251882932907297,0,0.09903423410238321,0,0.7533043199453613,0,0.12754166295251096,0,0.04267710564355409,1,0.053950408380799855,1,0.003368046155591352,1,0.002526218848306172,1,0.0359529159907882,1,0.8201419199629421,1,0.08252464677775129,1,0.028195197750877532,1,0.032110078248590385,1,0.0019703188298817523,1,0.0005804271063100108,1,0.03439726703315138,1,0.2667171478411231,0,0.4526972849652515,0,0.23167159879344534,0,0.23167159879344534,0,0.012354423221529298,1,0.06567543996095415,1,0.0797558435968806,0
85,0.8676294142444846,0.9456065584797436,0.6483909964351476,0,0.17517448694507282,0,0.061414313841498314,1,0.061414313841498314,1,0.004585569144894115,1,0.09229305530959286,1,0.11608630375570689,0,0.7526621898506545,0,0.12788457980442264,0,0.04297380092716707,1,0.05436434448252231,1,0.0034390581991417257,1,0.00210516305407793,1,0.04204359658562973,1,0.8203988372290729,1,0.082367997836232,1,0.02900527796713348,1,0.03127152769098049,1,0.001955225034735178,1,0.0017106351692870447,1,0.03158374637464112,1,0.2672190082124995,0,0.45212868150585606,0,0.23006043255962738,0,0.23006043255962738,0,0.012415244758695633,1,0.06747819358872464,1,0.08572643158174353,0
92,0.8675915817236497,0.9455282563966091,0.6448454132170313,0,0.1771402696997908,0,0.06066748785195386,1,0.06066748785195386,1,0.005162008638129857,1,0.08859843169749249,1,0.12123409386865291,0,0.7531521182672446,0,0.12774404255027738,0,0.04214413462080402,1,0.054846674227811504,1,0.0033911201832148574,1,0.0017867036692191807,1,0.04191589260513073,1,0.8199561686556338,1,0.0826849204907909,1,0.029422787325539934,1,0.03151452724071993,1,0.0018450113417601138,1,0.0016614614840565478,1,0.03221089752374995,1,0.2671680867164407,0,0.45329694726918174,0,0.23367664116563736,0,0.23367664116563736,0,0.012236118639209488,1,0.0737096486583505,1,0.12397654935081293,0
99,0.8681050230778377,0.945508994296911,0.6360122614704627,0,0.18165598504654035,0,0.06932549650996256,1,0.06932549650996256,1,0.005245034965549442,1,0.086994618605431,1,0.12996134571396883,0,0.7533384877402254,0,0.12764396091517644,0,0.04204626430198122,1,0.05452111998714815,1,0.0032910234587684023,1,0.0018694201858012738,1,0.04271067572762499,1,0.8198365834098404,1,0.08275190870086596,1,0.02893922222551537,1,0.03184771364405008,1,0.0018658282336747253,1,0.0010058084826309877,1,0.038991681084204255,1,0.26706421568465716,0,0.45288051086138226,0,0.23120355098669643,0,0.23120355098669643,0,0.01233693859076209,1,0.06990740867465683,1,0.10940219646284521,0
106,0.8673699912444738,0.9455834711943611,0.6364527513061274,0,0.18131057681718932,0,0.06932549650996256,1,0.06932549650996256,1,0.005165201291775862,1,0.08605124024813393,1,0.11191704205885888,0,0.7531472574793399,0,0.12771381554518996,0,0.04214953705957181,1,0.0548824876718324,1,0.0033059926860207756,1,0.0018055140302827288,1,0.03863401114391049,1,0.8186601275210755,1,0.08328957403633347,1,0.030042843788826823,1,0.032170378846846884,1,0.0018564240745752233,1,0.000960581005648331,1,0.034707026538900676,1,0.2665013700613069,0,0.45339481199292886,0,0.23186415596292143,0,0.23186415596292143,0,0.012265898097100561,1,0.07113809403593263,1,0.10542529727583139,0
113,0.8678618140153276,0.9456029541888862,0.6488408384238287,0,0.17482907871572173,0,0.05992066186240941,1,0.05992066186240941,1,0.0051248367420113,1,0.09204186823421179,1,0.1182832385838728,0,0.7523997776750474,0,0.12803120570193338,0,0.043013656521129096,1,0.054515020246335366,1,0.0034852422644486777,1,0.0018343259251405453,1,0.039979052866219666,1,0.8199552355682663,1,0.08257278082938946,1,0.028817027806828044,1,0.031702906129035965,1,0.0018405462111878226,1,0.0010384521078022901,1,0.036799482785718984,1,0.2657290853691943,0,0.4536036180699663,0,0.23333859619635255,0,0.23333859619635255,0,0.01235861296046454,1,0.06762226982095587,1,0.10079089961517229,0
120,0.8677483164528228,0.9455726980285778,0.6472691156557807,0,0.17603800751845045,0,0.07022427410776932,1,0.07022427410776932,1,0.004520455977775652,1,0.097094302576197,1,0.1181983040382566,0,0.7539658429614549,0,0.12724679340565143,0,0.041488146191996145,1,0.0544173053999884,1,0.003328550998013262,1,0.002039254165544846,1,0.03965690016673967,1,0.8203930036304763,1,0.08247494666265776,1,0.028353315653860567,1,0.03188016476458089,1,0.0018438596276685315,1,0.000992488603963948,1,0.0315957324240278,1,0.2667718527592941,0,0.45316288592518805,0,0.23133477556021842,0,0.23133477556021842,0,0.01222290329080409,1,0.07000907519593891,1,0.11917336542311807,0
127,0.8677050792861544,0.9456412786153436,0.6467655349122725,0,0.1764265917764704,0,0.062161139831042656,1,0.062161139831042656,1,0.004969140089746783,1,0.0917959588670395,1,0.08686971266864163,0,0.754209106338931,0,0.1272079173020465,0,0.04118777378170135,1,0.05462018283270227,1,0.003442746217540975,1,0.0019907844891500215,1,0.04805404010599512,1,0.8201376728140729,1,0.08266984063047345,1,0.029040260553464425,1,0.03172507566992855,1,0.0017768159562673025,1,0.00143057394109114,1,0.03189288254291134,1,0.2672804100391341,0,0.45343077642291196,0,0.23142565392699588,0,0.23142565392699588,0,0.012316262041212556,1,0.06886926290782569,1,0.09033316289906701,0
134,0.8677537210986564,0.9455101821376022,0.644399153415497,0,0.17748567792914183,0,0.062161139831042656,1,0.062161139831042656,1,0.004792366332914917,1,0.08807059427932495,1,0.10863515961303363,0,0.7519253490701673,0,0.12840814540193635,0,0.043250158762775825,1,0.05506287713885359,1,0.0033139625019660765,1,0.0015197415363868982,1,0.04606237020198328,1,0.8207573626417969,1,0.08224092784111192,1,0.028432727442088912,1,0.031426017733395026,1,0.001854622837376363,1,0.0014717808400505072,1,0.03005563231262387,1,0.26839987797789894,0,0.45143698882468086,0,0.22901369392620063,0,0.22901369392620063,0,0.01236786827619099,1,0.06915313583813576,1,0.08453634915294583,0
