Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
HistGradientBoosting,ETHNICITY,CAL,0.069977,0.022753,0.05,0.02,0.9,0.1333,13.3,UNFAIR
HistGradientBoosting,AGE_GROUP,DI,0.259999,0.011291,0.8,0.54,47.8,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,SPD,0.45923,0.008585,0.1,0.3592,41.8,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,EOPP,0.251051,0.025764,0.1,0.1511,5.9,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,EOD,0.251051,0.025764,0.1,0.1511,5.9,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,TI,0.014417,0.00398,0.1,0.0856,21.5,0.0,100.0,FAIR
HistGradientBoosting,AGE_GROUP,PP,0.082645,0.028082,0.1,0.0174,0.6,0.2333,76.7,FAIR
HistGradientBoosting,AGE_GROUP,CAL,0.213248,0.05144,0.05,0.1632,3.2,0.0,0.0,UNFAIR
XGBoost,RACE,DI,0.629924,0.101529,0.8,0.1701,1.7,0.0,0.0,UNFAIR
XGBoost,RACE,SPD,0.189152,0.051712,0.1,0.0892,1.7,0.0,0.0,UNFAIR
XGBoost,RACE,EOPP,0.118612,0.054723,0.1,0.0186,0.3,0.5,50.0,UNFAIR
XGBoost,RACE,EOD,0.127108,0.048693,0.1,0.0271,0.6,0.3667,36.7,UNFAIR
XGBoost,RACE,TI,0.0257,0.014068,0.1,0.0743,5.3,0.0,100.0,FAIR
XGBoost,RACE,PP,0.10661,0.06041,0.1,0.0066,0.1,0.4,60.0,FAIR
XGBoost,RACE,CAL,0.546259,0.121129,0.05,0.4963,4.1,0.0,0.0,UNFAIR
XGBoost,SEX,DI,0.762354,0.014596,0.8,0.0376,2.6,0.0333,3.3,UNFAIR
XGBoost,SEX,SPD,0.123424,0.009109,0.1,0.0234,2.6,0.0333,3.3,UNFAIR
XGBoost,SEX,EOPP,0.034772,0.010832,0.1,0.0652,6.0,0.0,100.0,FAIR
XGBoost,SEX,EOD,0.049206,0.007633,0.1,0.0508,6.7,0.0,100.0,FAIR
XGBoost,SEX,TI,0.004437,0.002303,0.1,0.0956,41.5,0.0,100.0,FAIR
XGBoost,SEX,PP,0.009372,0.007278,0.1,0.0906,12.5,0.0,100.0,FAIR
XGBoost,SEX,CAL,0.064927,0.015848,0.05,0.0149,0.9,0.2,20.0,UNFAIR
XGBoost,ETHNICITY,DI,0.830555,0.020549,0.8,0.0306,1.5,0.0667,93.3,FAIR
XGBoost,ETHNICITY,SPD,0.078392,0.010011,0.1,0.0216,2.2,0.0,100.0,FAIR
XGBoost,ETHNICITY,EOPP,0.021219,0.01114,0.1,0.0788,7.1,0.0,100.0,FAIR
XGBoost,ETHNICITY,EOD,0.034121,0.007299,0.1,0.0659,9.0,0.0,100.0,FAIR
XGBoost,ETHNICITY,TI,0.003654,0.001938,0.1,0.0963,49.7,0.0,100.0,FAIR
XGBoost,ETHNICITY,PP,0.010861,0.007524,0.1,0.0891,11.8,0.0,100.0,FAIR
XGBoost,ETHNICITY,CAL,0.087718,0.024735,0.05,0.0377,1.5,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,DI,0.290988,0.011474,0.8,0.509,44.4,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,SPD,0.436573,0.009474,0.1,0.3366,35.5,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,EOPP,0.18952,0.021338,0.1,0.0895,4.2,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,EOD,0.18952,0.021338,0.1,0.0895,4.2,0.0,0.0,UNFAIR
XGBoost,AGE_GROUP,TI,0.016478,0.003771,0.1,0.0835,22.1,0.0,100.0,FAIR
XGBoost,AGE_GROUP,PP,0.088059,0.025576,0.1,0.0119,0.5,0.3333,66.7,FAIR
XGBoost,AGE_GROUP,CAL,0.215329,0.074444,0.05,0.1653,2.2,0.0,0.0,UNFAIR
LightGBM,RACE,DI,0.645488,0.096155,0.8,0.1545,1.6,0.0,0.0,UNFAIR
LightGBM,RACE,SPD,0.179684,0.048809,0.1,0.0797,1.6,0.0,0.0,UNFAIR
LightGBM,RACE,EOPP,0.135449,0.068952,0.1,0.0354,0.5,0.4333,43.3,UNFAIR
LightGBM,RACE,EOD,0.139987,0.066093,0.1,0.04,0.6,0.4,40.0,UNFAIR
LightGBM,RACE,TI,0.025732,0.014571,0.1,0.0743,5.1,0.0,100.0,FAIR
LightGBM,RACE,PP,0.132374,0.09076,0.1,0.0324,0.4,0.4667,46.7,UNFAIR
