Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,Total_Fair
Reweigh_1,0.0,0.0,0.0,0.8665484850777728,0.9458926076635251,1.112816577129705,0.6861473195866395,3,0.4654993496285301,3,0.8000316622459781,7,0.8721797879250842,7,20
Reweigh_1,0.0,0.0,0.4,0.873806924432242,0.9458926076635251,0.38697264168279233,0.6296906713916741,4,0.36580698932772754,3,0.7794896460668741,5,0.8495006927519511,7,19
Reweigh_1,0.0,0.0,0.8,0.8751310626614638,0.9458926076635251,0.2545588187606085,0.588026036382134,4,0.2759132565848206,2,0.7596825764091059,5,0.8247451901642576,7,18
Reweigh_1,0.0,0.4,0.0,0.8665052479111044,0.9458926076635251,1.117140293796548,0.7008604396576616,3,0.462629845839958,3,0.8133030216630203,7,0.874954541365612,7,20
Reweigh_1,0.0,0.4,0.4,0.8736069525364003,0.9458926076635251,0.40696983126695674,0.635298715103753,4,0.3629529393760417,3,0.7926165706742936,5,0.8510507042542595,7,19
Reweigh_1,0.0,0.4,0.8,0.8754229135364759,0.9458926076635251,0.22537373125939286,0.5875914937036392,4,0.272655674167802,2,0.7727337280913407,5,0.8266811015710274,7,18
Reweigh_1,0.0,0.8,0.0,0.86624042026526,0.9458926076635251,1.1436230583809825,0.7180652228687511,3,0.4595634320881248,3,0.8263408747898239,7,0.8764267853767259,7,20
Reweigh_1,0.0,0.8,0.4,0.8733313155988888,0.9458926076635251,0.4345335250181104,0.6449500645650322,4,0.35798147426543386,3,0.8057324134582002,7,0.8538986511919493,7,21
Reweigh_1,0.0,0.8,0.8,0.875190513765633,0.9458926076635251,0.24861370834369234,0.5892729176808479,4,0.26964795729140006,2,0.785351456408405,5,0.8287277626664085,7,18
Reweigh_1,0.0,1.0,0.0,0.8661161134110882,0.9458926076635251,1.1560537437981688,0.7173302986244702,3,0.456703505755197,3,0.8338050997737967,7,0.876354067568744,7,20
Reweigh_1,0.0,1.0,0.4,0.8730340600780431,0.9458926076635251,0.46425907710268,0.6459837426925547,4,0.35570069366677487,1,0.8124732210919176,7,0.8542229833771747,7,19
Reweigh_1,0.0,1.0,0.8,0.8749905418697913,0.9458926076635251,0.26861089792785675,0.5967709985088698,4,0.2668812718349757,2,0.7922818230060629,5,0.8291098800834892,7,18
