Hospital,N,Accuracy,Selection_Rate,DI_RACE,DI_SEX
119000,999,0.8628628628628628,0.4804804804804805,0.7647058823529411,0.7802916038210156
121000,152,0.881578947368421,0.34210526315789475,0.5428571428571429,0.506268081002893
124000,3194,0.862867877269881,0.5835942391984972,0.8182845819541084,0.9643724685596435
126000,202,0.8712871287128713,0.26732673267326734,0.6363636363636364,0.6145966709346992
129000,670,0.8597014925373134,0.5432835820895522,0.40384615384615385,0.9516836055459946
130000,1654,0.9183796856106409,0.28536880290205563,0.6502732240437159,0.394431241008195
134001,1567,0.8883216336949585,0.33503509891512445,0.8004950495049504,0.5329937173687421
137000,229,0.8864628820960698,0.4585152838427948,0.6832298136645963,0.7115768463073852
140002,427,0.8009367681498829,0.639344262295082,0.6359338061465721,0.9975692756441419
141000,202,0.900990099009901,0.44554455445544555,0.7083333333333333,0.6338028169014085
142000,1096,0.8594890510948905,0.5036496350364964,0.0,0.793827604104284
143000,785,0.9222929936305733,0.45605095541401275,0.5221674876847291,0.8844813722862503
144000,902,0.8902439024390244,0.31596452328159647,0.7105263157894737,0.4678571428571428
145000,988,0.8552631578947368,0.49190283400809715,0.9097826086956522,0.8827800829875518
146000,281,0.8683274021352313,0.2846975088967972,0.30441400304414,0.5082252451755774
154000,2549,0.8587681443703413,0.4770498234601805,0.6783004552352048,0.7818517541545768
154001,766,0.8798955613577023,0.6370757180156658,0.9508021390374332,0.9579661016949153
154002,663,0.8521870286576169,0.5490196078431373,0.9392562814070352,0.9642857142857143
155000,428,0.8855140186915887,0.29205607476635514,0.3567901234567901,0.5331078118148218
157000,129,0.8062015503875969,0.6201550387596899,0.0,0.9103448275862069
158000,1734,0.8662053056516724,0.3944636678200692,0.6335078534031413,0.5012114765239488
168000,737,0.8656716417910447,0.4626865671641791,0.7217877094972067,0.9105882352941177
172000,1006,0.8717693836978131,0.40059642147117297,0.1488020176544767,0.5895322864491676
180000,695,0.8345323741007195,0.497841726618705,0.4158415841584158,0.8082907075873828
181000,1490,0.8429530201342282,0.3939597315436242,0.6463729375979352,0.8087270936471319
182000,994,0.8913480885311871,0.41448692152917505,0.34782608695652173,0.7954795054380558
186000,210,0.9095238095238095,0.29523809523809524,0.2874779541446208,0.4658643832446194
191000,582,0.8470790378006873,0.42955326460481097,0.0,0.8753623188405798
198000,555,0.8756756756756757,0.5261261261261261,0.7960077896786758,0.7764786324786325
207001,1089,0.9017447199265382,0.48943985307621674,0.2,0.5893617021276596
212000,1901,0.8763808521830615,0.371383482377696,0.23076923076923078,0.7658369472662826
214000,1035,0.863768115942029,0.5004830917874397,0.7896938263342815,0.9068632120403887
216001,234,0.8888888888888888,0.41025641025641024,0.8020833333333334,0.7659227000544365
219000,252,0.8452380952380952,0.5833333333333334,0.58,0.8791158185586
221000,103,0.8543689320388349,0.5048543689320388,0.2857142857142857,0.9086956521739131
228001,747,0.9022757697456493,0.37349397590361444,0.6750083416750083,0.32298452768729646
229000,1272,0.8883647798742138,0.4276729559748428,0.0,0.6445784071716253
230000,432,0.8912037037037037,0.4305555555555556,0.0,0.6361746361746362
235000,2499,0.8575430172068828,0.5238095238095238,0.7589463220675944,0.9747725984174328
243000,262,0.8854961832061069,0.5076335877862596,0.8405315614617939,0.9271079590228526
246000,543,0.8692449355432781,0.46408839779005523,0.31746031746031744,0.8522077922077922
251000,949,0.8767123287671232,0.5205479452054794,0.7514124293785311,0.7164535491679772
255000,1236,0.8648867313915858,0.5186084142394822,0.740693641618497,0.8677522072658851
256000,190,0.868421052631579,0.24736842105263157,0.0,0.663720369626356
263000,704,0.8764204545454546,0.41051136363636365,0.7789046653144016,0.49018928901200365
266000,1037,0.8939247830279653,0.43972999035679844,0.23809523809523808,0.49454545454545457
280000,148,0.8445945945945946,0.16891891891891891,0.0,0.737888198757764
283000,975,0.8943589743589744,0.442051282051282,0.4008810572687225,0.6079796306421734
285000,244,0.7991803278688525,0.3319672131147541,0.7328767123287672,0.8094607379375591
286000,2047,0.8768930141670738,0.3859306301905227,0.6956521739130435,0.5980704929908569
292000,115,0.8173913043478261,0.45217391304347826,0.6821705426356589,0.4842355740630577
297000,872,0.8853211009174312,0.5149082568807339,0.6305418719211822,0.9986407460091671
298000,370,0.8405405405405405,0.34864864864864864,0.22040816326530613,0.7610294117647058
299001,116,0.7931034482758621,0.6551724137931034,0.6875,0.9705882352941178
300000,738,0.8699186991869918,0.45934959349593496,0.5965463108320251,0.9070001860926741
301000,535,0.8990654205607477,0.34392523364485983,0.4789915966386554,0.3625432525951557
302000,1809,0.861249309010503,0.36318407960199006,0.5353009259259259,0.8700760425623387
303000,150,0.84,0.34,0.24374999999999997,0.5242768595041322
314001,586,0.8822525597269625,0.5392491467576792,0.8219373219373219,0.627729219009873
315002,378,0.8386243386243386,0.5211640211640212,0.37662337662337664,0.816967792615868
316002,493,0.9148073022312373,0.20081135902636918,0.36467889908256884,0.5765765765765766
318000,1388,0.8623919308357348,0.36671469740634005,0.39898989898989895,0.7092011627253546
319000,1087,0.9052437902483901,0.49770009199632015,0.5845410628019323,0.6130617977528091
323000,180,0.8611111111111112,0.5111111111111111,0.7407407407407407,0.8913934426229508
331000,2672,0.8521706586826348,0.5991766467065869,0.6494252873563219,0.9303898823203249
332000,464,0.9137931034482759,0.4870689655172414,0.5092592592592593,0.8686796752599346
334002,155,0.896774193548387,0.5290322580645161,0.0,0.6140120703227498
335000,1037,0.8582449373191899,0.351976856316297,0.18333333333333332,0.5966816667239188
335001,349,0.9398280802292264,0.3982808022922636,0.3333333333333333,0.9248807631160572
336001,669,0.8878923766816144,0.5186846038863976,0.593939393939394,0.9362244897959183
337001,927,0.8727076591154261,0.47680690399137,0.6290471785383903,0.6853620955315871
339000,993,0.8731117824773413,0.39274924471299094,0.7208672086720866,0.5649857174247418
339001,605,0.8198347107438017,0.5504132231404959,0.5729166666666666,0.9710622710622709
340000,1483,0.8772757923128793,0.4423465947403911,0.4702102803738318,0.8461218459624431
347000,2081,0.857760691975012,0.46756367131186927,0.8697632799153989,0.892650309046638
349001,1304,0.8773006134969326,0.4171779141104294,0.5476190476190476,0.8185477053963406
363000,1000,0.86,0.578,0.52,0.9471740299436787
363001,269,0.8773234200743495,0.3940520446096654,0.4955555555555556,0.6578220011055832
370000,805,0.9130434782608695,0.2906832298136646,0.0,0.3352831807780321
374000,563,0.9129662522202486,0.4049733570159858,0.25396825396825395,0.5873287206620541
383000,161,0.8757763975155279,0.3105590062111801,0.5012285012285013,0.5478515625
384000,931,0.8302900107411385,0.48012889366272826,0.6296296296296297,0.9751525299767114
389000,1147,0.902353966870096,0.41586748038360943,0.0,0.7032042654519102
390000,602,0.8604651162790697,0.5481727574750831,0.5609756097560976,0.6015257995415085
392000,468,0.8974358974358975,0.25213675213675213,0.1626086956521739,0.6076923076923076
393000,214,0.9252336448598131,0.1261682242990654,,0.1947916666666667
394000,488,0.8565573770491803,0.5102459016393442,0.20405982905982903,0.7754859771479448
396002,397,0.8841309823677582,0.6775818639798489,0.7475409836065574,0.8806594800253646
397001,299,0.8461538461538461,0.46488294314381273,0.6888888888888889,0.7911111111111112
398000,685,0.8656934306569343,0.5240875912408759,0.0,0.5849708047727851
398001,1477,0.8578199052132701,0.6655382532159784,0.7750623441396508,0.932520954943876
398002,905,0.9303867403314917,0.23867403314917127,0.2916666666666667,0.29182931496364334
400000,1297,0.8635312259059368,0.5528141865844256,0.0,0.8281947021436185
405000,1318,0.8755690440060698,0.4218512898330804,0.4400869355228206,0.6667470605969249
406000,409,0.8997555012224939,0.3765281173594132,0.6169354838709677,0.6150409922219887
407000,2058,0.8780369290573372,0.40816326530612246,0.6793101856127066,0.8054040010392309
409000,1235,0.8647773279352227,0.5684210526315789,0.3888888888888889,0.8201438546664538
410000,1596,0.8771929824561403,0.5093984962406015,0.0,0.8569137898509714
415000,523,0.8948374760994264,0.27151051625239003,0.0,0.5502684014193431
416000,184,0.9130434782608695,0.2826086956521739,0.6138248847926268,0.43256109171691526
417000,936,0.8579059829059829,0.4668803418803419,0.7397260273972602,0.9543961201501877
421000,530,0.909433962264151,0.6226415094339622,0.7945301542776998,0.9660185435232695
422000,1466,0.8628922237380627,0.514324693042292,0.6346153846153847,0.8386214325705336
424000,125,0.856,0.432,0.1955403087478559,0.5849462365591398
425000,416,0.9471153846153846,0.1346153846153846,0.5154320987654321,0.25707453168593064
429001,200,0.88,0.29,0.0,0.38271604938271603
431000,1907,0.8704771893025695,0.4556895647614054,0.782608695652174,0.9409778458337014
436000,338,0.8254437869822485,0.39644970414201186,0.2608695652173913,0.9910909090909091
437000,617,0.8557536466774717,0.4619124797406807,0.5789666209419295,0.9859829059829059
444001,1971,0.8660578386605784,0.5220700152207002,0.7523616734143049,0.9518834389556983
448001,1161,0.8828596037898363,0.38242894056847543,0.0,0.61882010801828
449000,379,0.8970976253298153,0.41160949868073876,0.6503937007874017,0.4721853327431017
452000,785,0.8140127388535032,0.44203821656050957,0.4292682926829268,0.7540374263009484
453000,712,0.8834269662921348,0.40168539325842695,0.4416666666666667,0.5984238765928908
458001,693,0.886002886002886,0.3823953823953824,0.570992611628654,0.6388888888888888
459000,1206,0.835820895522388,0.6053067993366501,0.3125,0.821906948321139
462000,205,0.7902439024390244,0.3024390243902439,0.0,0.7798032407407407
464002,757,0.904887714663144,0.39762219286657857,0.6389033489501996,0.6313131313131313
465000,2205,0.980498866213152,0.5936507936507937,0.0,0.9408224876974877
466000,106,0.8584905660377359,0.5754716981132075,0.8545454545454545,0.9389671361502349
474000,2425,0.8738144329896907,0.3872164948453608,0.33679354094579006,0.523816640439791
477000,1190,0.8529411764705882,0.5302521008403361,0.41719342604298354,0.805962555962556
