truth,predicted,flip_rate,aleatoric_share,epistemic_share
aleatoric,aleatoric,0.5082,0.9997201677972295,0.0002798322027704648
aleatoric,aleatoric,0.4853333333333334,0.9997231272159557,0.00027687278404421177
aleatoric,aleatoric,0.5127999999999999,0.9997214161714851,0.0002785838285150093
aleatoric,aleatoric,0.48786666666666667,0.9997239833770495,0.00027601662295042087
aleatoric,aleatoric,0.4760666666666667,0.9997182660935375,0.0002817339064624748
epistemic,epistemic,1.0,0.19769910748593794,0.8023008925140621
epistemic,epistemic,1.0,0.19261120110509422,0.8073887988949059
epistemic,epistemic,1.0,0.1928540209683082,0.8071459790316917
epistemic,epistemic,1.0,0.206643766991821,0.793356233008179
epistemic,epistemic,1.0,0.22418278188694377,0.7758172181130563
epistemic,epistemic,1.0,0.19260918386886683,0.8073908161311333
epistemic,epistemic,1.0,0.19234602207887785,0.807653977921122
epistemic,epistemic,1.0,0.1975152899138132,0.8024847100861868
epistemic,epistemic,1.0,0.19242353483920718,0.8075764651607928
epistemic,epistemic,1.0,0.2538273301759158,0.7461726698240841
epistemic,epistemic,1.0,0.19250738234153203,0.807492617658468
epistemic,epistemic,1.0,0.19191150257622192,0.8080884974237781
epistemic,epistemic,1.0,0.19230653308047715,0.8076934669195228
epistemic,epistemic,1.0,0.22435410657836943,0.7756458934216307
epistemic,epistemic,1.0,0.1927298320896078,0.8072701679103922
epistemic,epistemic,1.0,0.19200233455050109,0.807997665449499
epistemic,epistemic,1.0,0.19290426521131657,0.8070957347886835
epistemic,epistemic,1.0,0.19720811482632905,0.8027918851736708
epistemic,epistemic,1.0,0.20717143266417826,0.7928285673358217
epistemic,epistemic,1.0,0.19777479841353524,0.8022252015864648
epistemic,epistemic,1.0,0.2244741157280796,0.7755258842719204
epistemic,epistemic,1.0,0.1924509797782422,0.8075490202217579
epistemic,epistemic,1.0,0.19716950409571327,0.8028304959042868
epistemic,epistemic,1.0,0.19674769535243258,0.8032523046475674
epistemic,epistemic,1.0,0.19682490471809858,0.8031750952819015
epistemic,epistemic,1.0,0.19655321457381314,0.8034467854261869
epistemic,epistemic,1.0,0.19718894963302044,0.8028110503669795
epistemic,epistemic,1.0,0.1917083569453832,0.8082916430546168
epistemic,epistemic,1.0,0.19176393895825442,0.8082360610417455
epistemic,epistemic,1.0,0.19286001010764972,0.8071399898923503
mixed,mixed,0.7393333333333333,0.45401778657011654,0.5459822134298836
mixed,mixed,0.7462666666666666,0.45846820870143307,0.541531791298567
mixed,mixed,0.7539333333333333,0.4736475567610308,0.5263524432389691
mixed,mixed,0.7382666666666666,0.4746869713588017,0.5253130286411983
mixed,mixed,0.749,0.4608857616415581,0.539114238358442
mixed,mixed,0.7526666666666666,0.46377937253865764,0.5362206274613425
mixed,mixed,0.738,0.4556839038379691,0.544316096162031
mixed,mixed,0.7560666666666667,0.46515279167751566,0.5348472083224843
mixed,mixed,0.7490666666666668,0.5018309772443378,0.4981690227556622
mixed,mixed,0.7512666666666666,0.4627539904626927,0.5372460095373074
mixed,mixed,0.7399333333333334,0.45437798836441434,0.5456220116355855
mixed,mixed,0.7526,0.4633833824295087,0.5366166175704912
mixed,mixed,0.7336666666666666,0.47141126904062497,0.5285887309593751
mixed,mixed,0.7454,0.4584358328361124,0.5415641671638877
mixed,mixed,0.7329333333333334,0.4480779816529069,0.551922018347093
mixed,mixed,0.7291333333333333,0.4461309864701712,0.5538690135298288
mixed,mixed,0.7334,0.4525273667911367,0.5474726332088632
mixed,mixed,0.7449333333333334,0.467043236453045,0.5329567635469549
mixed,mixed,0.7415333333333333,0.4588389169735923,0.5411610830264078
mixed,mixed,0.7289333333333334,0.46711075122494017,0.5328892487750597
mixed,mixed,0.7505333333333333,0.46156055265068197,0.5384394473493181
mixed,mixed,0.7531333333333333,0.46633095602468055,0.5336690439753194
mixed,mixed,0.7528666666666667,0.46685333234142434,0.5331466676585757
mixed,mixed,0.75,0.46381223864538046,0.5361877613546195
mixed,mixed,0.7492666666666666,0.4639864088038533,0.5360135911961469
mixed,mixed,0.7452666666666666,0.461153476614299,0.538846523385701
mixed,mixed,0.7383333333333334,0.45331137770288044,0.5466886222971196
mixed,mixed,0.7514666666666667,0.4631638631349667,0.5368361368650332
mixed,mixed,0.7487333333333334,0.46071232892721115,0.5392876710727889
mixed,mixed,0.7293333333333333,0.4497858669744146,0.5502141330255855
