Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
DNN (PyTorch),RACE,EOPP,0.279606,0.140286,0.1,0.1796,1.3,0.0667,6.7,UNFAIR
DNN (PyTorch),RACE,EOD,0.395231,0.226174,0.1,0.2952,1.3,0.0,0.0,UNFAIR
DNN (PyTorch),RACE,TI,0.027652,0.01654,0.1,0.0723,4.4,0.0,100.0,FAIR
DNN (PyTorch),RACE,PP,0.420314,0.283856,0.1,0.3203,1.1,0.0333,3.3,UNFAIR
DNN (PyTorch),RACE,CAL,0.564975,0.146538,0.05,0.515,3.5,0.0,0.0,UNFAIR
DNN (PyTorch),SEX,DI,0.75146,0.070731,0.8,0.0485,0.7,0.1667,16.7,UNFAIR
DNN (PyTorch),SEX,SPD,0.135635,0.043616,0.1,0.0356,0.8,0.1667,16.7,UNFAIR
DNN (PyTorch),SEX,EOPP,0.046566,0.034193,0.1,0.0534,1.6,0.1,90.0,FAIR
DNN (PyTorch),SEX,EOD,0.08311,0.040061,0.1,0.0169,0.4,0.3667,63.3,FAIR
DNN (PyTorch),SEX,TI,0.008911,0.006586,0.1,0.0911,13.8,0.0,100.0,FAIR
DNN (PyTorch),SEX,PP,0.03875,0.028925,0.1,0.0612,2.1,0.0333,96.7,FAIR
DNN (PyTorch),SEX,CAL,0.252922,0.067615,0.05,0.2029,3.0,0.0,0.0,UNFAIR
DNN (PyTorch),ETHNICITY,DI,0.804954,0.104306,0.8,0.005,0.0,0.4667,46.7,UNFAIR
DNN (PyTorch),ETHNICITY,SPD,0.094139,0.050808,0.1,0.0059,0.1,0.4667,53.3,FAIR
DNN (PyTorch),ETHNICITY,EOPP,0.067594,0.066103,0.1,0.0324,0.5,0.3,70.0,FAIR
DNN (PyTorch),ETHNICITY,EOD,0.080785,0.059284,0.1,0.0192,0.3,0.3333,66.7,FAIR
DNN (PyTorch),ETHNICITY,TI,0.010394,0.008162,0.1,0.0896,11.0,0.0,100.0,FAIR
DNN (PyTorch),ETHNICITY,PP,0.045656,0.05042,0.1,0.0543,1.1,0.0667,93.3,FAIR
DNN (PyTorch),ETHNICITY,CAL,0.320926,0.10597,0.05,0.2709,2.6,0.0,0.0,UNFAIR
DNN (PyTorch),AGE_GROUP,DI,0.4784,0.045131,0.8,0.3216,7.1,0.0,0.0,UNFAIR
DNN (PyTorch),AGE_GROUP,SPD,0.336115,0.039093,0.1,0.2361,6.0,0.0,0.0,UNFAIR
DNN (PyTorch),AGE_GROUP,EOPP,0.153639,0.049113,0.1,0.0536,1.1,0.1,10.0,UNFAIR
DNN (PyTorch),AGE_GROUP,EOD,0.190564,0.033804,0.1,0.0906,2.7,0.0,0.0,UNFAIR
DNN (PyTorch),AGE_GROUP,TI,0.008994,0.007017,0.1,0.091,13.0,0.0,100.0,FAIR
DNN (PyTorch),AGE_GROUP,PP,0.052757,0.045734,0.1,0.0472,1.0,0.1333,86.7,FAIR
DNN (PyTorch),AGE_GROUP,CAL,0.24234,0.068293,0.05,0.1923,2.8,0.0,0.0,UNFAIR
Stacking Ensemble,RACE,DI,0.283569,0.29296,0.8,0.5164,1.8,0.0,0.0,UNFAIR
Stacking Ensemble,RACE,SPD,0.431991,0.190083,0.1,0.332,1.7,0.0,0.0,UNFAIR
Stacking Ensemble,RACE,EOPP,0.280752,0.171782,0.1,0.1808,1.1,0.0,0.0,UNFAIR
Stacking Ensemble,RACE,EOD,0.396355,0.22918,0.1,0.2964,1.3,0.0,0.0,UNFAIR
Stacking Ensemble,RACE,TI,0.035619,0.028572,0.1,0.0644,2.3,0.0333,96.7,FAIR
Stacking Ensemble,RACE,PP,0.398294,0.302354,0.1,0.2983,1.0,0.0,0.0,UNFAIR
Stacking Ensemble,RACE,CAL,0.626477,0.095748,0.05,0.5765,6.0,0.0,0.0,UNFAIR
Stacking Ensemble,SEX,DI,0.749454,0.074526,0.8,0.0505,0.7,0.2,20.0,UNFAIR
Stacking Ensemble,SEX,SPD,0.135958,0.046465,0.1,0.036,0.8,0.1667,16.7,UNFAIR
Stacking Ensemble,SEX,EOPP,0.042657,0.032233,0.1,0.0573,1.8,0.1,90.0,FAIR
Stacking Ensemble,SEX,EOD,0.074051,0.034509,0.1,0.0259,0.8,0.3,70.0,FAIR
Stacking Ensemble,SEX,TI,0.012467,0.008581,0.1,0.0875,10.2,0.0,100.0,FAIR
Stacking Ensemble,SEX,PP,0.043367,0.028545,0.1,0.0566,2.0,0.0333,96.7,FAIR
Stacking Ensemble,SEX,CAL,0.398637,0.103129,0.05,0.3486,3.4,0.0,0.0,UNFAIR
Stacking Ensemble,ETHNICITY,DI,0.815443,0.093914,0.8,0.0154,0.2,0.4,60.0,FAIR
Stacking Ensemble,ETHNICITY,SPD,0.087939,0.045263,0.1,0.0121,0.3,0.3667,63.3,FAIR
Stacking Ensemble,ETHNICITY,EOPP,0.067679,0.048118,0.1,0.0323,0.7,0.2,80.0,FAIR
Stacking Ensemble,ETHNICITY,EOD,0.07831,0.040748,0.1,0.0217,0.5,0.2,80.0,FAIR
Stacking Ensemble,ETHNICITY,TI,0.013731,0.009484,0.1,0.0863,9.1,0.0,100.0,FAIR
Stacking Ensemble,ETHNICITY,PP,0.051408,0.036375,0.1,0.0486,1.3,0.0667,93.3,FAIR
Stacking Ensemble,ETHNICITY,CAL,0.528644,0.1399,0.05,0.4786,3.4,0.0,0.0,UNFAIR
Stacking Ensemble,AGE_GROUP,DI,0.496111,0.043351,0.8,0.3039,7.0,0.0,0.0,UNFAIR
Stacking Ensemble,AGE_GROUP,SPD,0.316837,0.034302,0.1,0.2168,6.3,0.0,0.0,UNFAIR
Stacking Ensemble,AGE_GROUP,EOPP,0.122077,0.037927,0.1,0.0221,0.6,0.2667,26.7,UNFAIR
Stacking Ensemble,AGE_GROUP,EOD,0.141996,0.035726,0.1,0.042,1.2,0.1333,13.3,UNFAIR
Stacking Ensemble,AGE_GROUP,TI,0.009948,0.007922,0.1,0.0901,11.4,0.0,100.0,FAIR
Stacking Ensemble,AGE_GROUP,PP,0.043751,0.039293,0.1,0.0562,1.4,0.1333,86.7,FAIR
Stacking Ensemble,AGE_GROUP,CAL,0.413611,0.138771,0.05,0.3636,2.6,0.0,0.0,UNFAIR
LGB-XGB Blend,RACE,DI,0.24907,0.286728,0.8,0.5509,1.9,0.0,0.0,UNFAIR
LGB-XGB Blend,RACE,SPD,0.458529,0.201528,0.1,0.3585,1.8,0.0,0.0,UNFAIR
LGB-XGB Blend,RACE,EOPP,0.270311,0.169436,0.1,0.1703,1.0,0.0,0.0,UNFAIR
LGB-XGB Blend,RACE,EOD,0.379337,0.259502,0.1,0.2793,1.1,0.0,0.0,UNFAIR
LGB-XGB Blend,RACE,TI,0.027662,0.02034,0.1,0.0723,3.6,0.0,100.0,FAIR
LGB-XGB Blend,RACE,PP,0.361627,0.290614,0.1,0.2616,0.9,0.0333,3.3,UNFAIR
LGB-XGB Blend,RACE,CAL,0.567697,0.142936,0.05,0.5177,3.6,0.0,0.0,UNFAIR
LGB-XGB Blend,SEX,DI,0.75021,0.076654,0.8,0.0498,0.6,0.2,20.0,UNFAIR
LGB-XGB Blend,SEX,SPD,0.135325,0.046496,0.1,0.0353,0.8,0.1667,16.7,UNFAIR
LGB-XGB Blend,SEX,EOPP,0.03892,0.026684,0.1,0.0611,2.3,0.0333,96.7,FAIR
LGB-XGB Blend,SEX,EOD,0.070077,0.027902,0.1,0.0299,1.1,0.1667,83.3,FAIR
LGB-XGB Blend,SEX,TI,0.010587,0.007224,0.1,0.0894,12.4,0.0,100.0,FAIR
