Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
11,46259,21,0.8280118463434143,0.9185439597146337,0.5863532948728366,0,0.2048099327794013,0,0.09803798903651118,1,0.09803798903651118,1,0.030647118154715408,1,0.21795765646424503,0,0.4805073160228786,0,0.812079936109049,1,0.1017304561369119,0,0.04871219787394787,1,0.06076510232223897,1,0.001292932613871603,1,0.005653367530458531,1,0.20094763771134044,0,0.7920527892935183,0,0.10368059737303553,0,0.02010083380881378,1,0.06603408590936938,1,0.007105364060447636,1,0.003918742209043424,1,0.18696938914018368,0,0.6178455023197739,0,0.2327449228429358,0,0.06723930344221118,1,0.12250299003944706,0,0.002028263816072559,1,0.05873474492679587,1,0.20284706713539297,0
12,46255,23,0.8570965301048535,0.9311246149588694,0.5349732835971368,0,0.2206563337160352,0,0.06606613866742017,1,0.12284455907585709,0,0.035703584046598506,1,0.09549867608120033,1,0.37121793455060836,0,0.6000830606849468,0,0.1952407562173309,0,0.061639780381091414,1,0.08694229612424037,1,0.011661910567434403,1,0.010382551548965058,1,0.030647501568892788,1,0.7200781914861071,0,0.11050308321177715,0,0.02785414859954982,1,0.04954303421680997,1,0.014520355601682397,1,0.008636511936617852,1,0.04346010224710933,1,0.3654531548560347,0,0.3827895550149649,0,0.16738434662510882,0,0.16738434662510882,0,0.01127818854600033,1,0.08444107116268074,1,0.07131523323161038,0
13,46255,22,0.8495081612798616,0.931794669323395,0.6695583368607381,0,0.14948017302905287,0,0.08687258687258681,1,0.08687258687258681,1,0.025741749388802054,1,0.15695347673836924,0,0.6731741023897447,0,0.8123332010960639,1,0.08320757442152882,1,0.05027520429202115,1,0.05027520429202115,1,0.0005431257178829113,1,0.012589060356375414,1,0.07467195953776218,0,0.8451889045459693,1,0.06386135352410865,1,0.0069867262259244445,1,0.016435202205607638,1,0.007594155983491446,1,0.020588599876762204,1,0.07090944803925148,0,0.48933480465351153,0,0.2767586048805206,0,0.12452699787545929,0,0.13837978240491855,0,0.010344118432098287,1,0.025899157063477007,1,0.060844778697655755,0
14,46255,23,0.8406442546751702,0.9212786074071149,0.7218562016614151,0,0.1444940476190476,0,0.18617938766709796,0,0.18617938766709796,0,0.021642045511992822,1,0.09429426137075547,1,0.3294641050828847,0,0.806764937812843,1,0.0996216651510562,1,0.04063080383182627,1,0.054451387857387484,1,0.00580853425325914,1,0.001772083401951563,1,0.0959007560955446,0,0.9517534996240126,1,0.02209692758604992,1,0.08973293194503917,1,0.08973293194503917,1,0.03538061575625745,1,0.0020804119066695215,1,0.10160869454169455,0,0.5264661946344295,0,0.2965935231007745,0,0.17529282778931998,0,0.17529282778931998,0,0.008328892062279505,1,0.061939430613098034,1,0.08990181766843286,0
15,46255,21,0.8185493460166469,0.9158814246725506,0.6964671105792344,0,0.16645352000493596,0,0.1779279279279279,0,0.18238427222888104,0,0.0372119589526147,1,0.19673845332384088,0,0.575241219281345,0,0.7520222490077748,0,0.1404249174783444,0,0.041715488609343376,1,0.06037623414806628,1,0.0035881099616792422,1,0.060132280566855045,1,0.22424925438837234,0,0.8045500576246073,1,0.09872907176812995,1,0.020118436646149762,1,0.021281676992420756,1,0.0018819283594856406,1,0.08146596810714735,1,0.2729225004056077,0,0.5134801356911338,0,0.3173295803238743,0,0.10829565839528421,0,0.14207982582695816,0,0.011605909931807101,1,0.1532486099038095,0,0.30104624224288523,0
16,46259,21,0.8272552368187812,0.9138631520723635,0.6428470901921448,0,0.25634362074918643,0,0.2919540229885058,0,0.33207797961896324,0,0.024677592329456405,1,0.17387387387387387,0,0.4933405083217446,0,0.8744385133526349,1,0.07139948231808524,1,0.03033918541033065,1,0.05148272789413097,1,0.0015656541038941152,1,0.005240062774259702,1,0.10847274386841077,0,0.6935422433305606,0,0.16670153160461615,0,0.11799562344833636,0,0.11799562344833636,0,0.01122086226156474,1,0.005217949439465852,1,0.13832680153858215,0,0.6317791493552042,0,0.2353982210059044,0,0.05368956217358145,1,0.10498251096405511,0,0.005795118633244917,1,0.0820574878060798,1,0.1482179340325691,0
17,46258,22,0.8470751005231527,0.9290900493490168,0.566702178030303,0,0.21504242819843344,0,0.2269799166350891,0,0.2269799166350891,0,0.014314328504450406,1,0.08630011454753717,1,0.5607776494599991,0,0.7740149615072582,0,0.11157460703283445,0,0.022580856841791785,1,0.03942142638630049,1,0.005821742569333141,1,0.010386383994780424,1,0.13517258815292654,0,0.7403816802731967,0,0.11890286093413371,0,0.041625667340540184,1,0.050973413469662804,1,0.006363218180950696,1,0.014477739819441005,1,0.14519350082330484,0,0.576411612810849,0,0.25624814291594805,0,0.09398121773591361,1,0.1102123208367198,0,0.004804956345010131,1,0.013106803489072671,1,0.14487112499263155,0
18,46255,23,0.8399956761431197,0.9244696718506458,0.5417719120246892,0,0.20906104933947411,0,0.17006877106382312,0,0.17006877106382312,0,0.02138012030419409,1,0.09359196579080198,1,0.39359214436568896,0,0.726300012591823,0,0.14226617653127477,0,0.05255735331348432,1,0.08274911357106865,1,0.006069225283286864,1,0.007653587280420093,1,0.08941264916813763,0,0.9837615988295387,1,0.007039946331041547,1,0.06161820581873756,1,0.06161820581873756,1,0.010211411811820267,1,0.011652526505825711,1,0.12416773021402994,0,0.4454206972308321,0,0.3492163051426603,0,0.1516690544279008,0,0.1516690544279008,0,0.002499963725562826,1,0.0927404965459333,1,0.11238768994666293,0
19,46255,24,0.8377472705653443,0.9245162052134979,0.586225426537101,0,0.16887919532596973,0,0.23239962284906107,0,0.23239962284906107,0,0.08693797234858043,1,0.13795620437956202,0,0.7695896387604109,0,0.6626511244279782,0,0.14469783076712844,0,0.10654083935418934,0,0.10654083935418934,0,0.01117512555547831,1,0.0166906873614191,1,0.14558338481710634,0,0.9147696865679763,1,0.02940737415938499,1,0.009767833158516037,1,0.013524846804782213,1,0.0026446731172840576,1,0.008014469190939844,1,0.13550641100083932,0,0.3860205244047933,0,0.3118123626492729,0,0.21911982931147045,0,0.21911982931147045,0,0.01030479650868403,1,0.056961990522369166,1,0.16784464830339824,0
20,46255,23,0.8507620797751595,0.9324077321152484,0.18565759637188206,0,0.36552162849872777,0,0.605526934707134,0,0.605526934707134,0,0.059054779793335246,1,0.188031462585034,0,0.6086746773359442,0,0.5702052192445906,0,0.24455658427821736,0,0.10635232881735146,0,0.12451710846849051,0,0.00680168447133403,1,0.0035860994772983767,1,0.08556788841631702,0,0.8929794184701251,1,0.045469615053491896,1,0.06219976075497302,1,0.06219976075497302,1,0.001542429547970084,1,0.05584199784009092,1,0.12005139126222575,0,0.4189285726187818,0,0.38682576570200766,0,0.170453760274343,0,0.18848603384604012,0,0.0049508540472562035,1,0.049711080881101766,1,0.04780815717357001,1
