Subset,N,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
11,500,0.6666666666666666,0,0.16666666666666669,0,0.33333333333333337,0,0.33333333333333337,0,0.009429515621457364,1,0.33333333333333337,0,0.47028740750234344,0,0.7731692088127732,0,0.12780821229331057,0,0.039408866995073955,1,0.039408866995073955,1,0.0012050347546223167,1,0.027846027846027854,1,0.3103591958770803,0,0.9324920362656212,1,0.03453895818968222,1,0.019323671497584516,1,0.019323671497584516,1,0.0041050671447036766,1,0.02413970210580385,1,0.3584793968079989,0,0.5300207039337475,0,0.30842391304347827,0,0.08587655245584469,1,0.13290302511859398,0,0.005888046106943386,1,0.02593537414965985,1,0.36405451640253006,0
12,500,0.0,0,0.5833333333333334,0,0.21875,0,0.21875,0,0.05437014323533329,1,0.07777777777777772,1,0.7498268045845888,0,0.6126888217522659,0,0.21771930138186235,0,0.17463175122749597,0,0.17463175122749597,0,0.020697153901593247,1,0.05789473684210522,1,0.45285184356319486,0,0.8320220298977183,1,0.07326698695950584,1,0.11538461538461542,0,0.11538461538461542,0,0.029953256245633827,1,0.03577235772357723,1,0.40064379491612573,0,0.45285453177077734,0,0.3318335941575378,0,0.11046847888953149,0,0.12722392159310816,0,0.014773481651287008,1,0.004306126443531011,1,0.17088332768528502,0
13,500,0.0,0,0.59375,0,0.8918918918918919,0,0.8918918918918919,0,0.03291309253967465,1,0.13157894736842102,0,0.7137378852406585,0,0.8198138297872339,1,0.09409722222222228,1,0.005050505050504972,1,0.03921156004489337,1,0.019729263400808793,1,0.007066314645131189,1,0.2766667787248678,0,0.5532786885245902,0,0.23163327261687916,0,0.1991834032222467,0,0.1991834032222467,0,0.027688857490230173,1,0.008163265306122436,1,0.4168366022678487,0,0.49196664632906245,0,0.3207498715973292,0,0.19637268847795164,0,0.19637268847795164,0,0.019310889215491914,1,0.07677197577344907,1,0.2999188836550102,0
14,500,0.0,0,0.4857142857142857,0,0.2958333333333334,0,0.3333333333333333,0,0.09093824975025024,1,0.30000000000000004,0,0.7074115723220723,0,0.7675624705327676,0,0.12689832689832686,0,0.021426312460468,1,0.12272285644887054,0,0.01808014526965797,1,0.07448244824482442,1,0.5047494867257234,0,0.9435544430538172,1,0.026729093818526672,1,0.00019516003122566072,1,0.0006544502617800985,1,0.008494281764775555,1,0.017553688141923374,1,0.3413398223049951,0,0.41779214559386973,0,0.3897625803555684,0,0.22907114960095087,0,0.22907114960095087,0,0.017890667549096295,1,0.1266267123287672,0,0.4836314373131766,0
15,500,0.5859375,0,0.22083333333333333,0,0.3085714285714286,0,0.47101449275362317,0,0.05041549514204864,1,0.9487179487179487,0,0.8266909215864373,0,0.8226577759816799,1,0.08822100484160089,1,0.037010000729980286,1,0.037010000729980286,1,0.005793111075388976,1,0.02106649111257408,1,0.35685166079494823,0,0.8331150761172041,1,0.07797472227002428,1,0.02824858757062154,1,0.02824858757062154,1,0.011128038781138418,1,0.02312867956265774,1,0.29337251937149267,0,0.493730407523511,0,0.31822660098522165,0,0.1264150943396226,0,0.14402173913043478,0,0.007555382607519812,1,0.02474747474747474,1,0.35868115166086073,0
16,500,0.4127906976744186,0,0.3556338028169014,0,0.21875,0,0.21875,0,0.030194480830237222,1,0.13953488372093026,0,0.6512741832928733,0,0.7398097826086957,0,0.13298611111111108,0,0.06378404204491162,1,0.09112236078528213,1,0.004109232624202805,1,0.05865971972691342,1,0.2580850094350421,0,0.7837029893924784,0,0.09727643334200708,1,0.02175414364640882,1,0.042392646453560154,1,0.0070991211616946714,1,0.018741450068399446,1,0.43730596320047194,0,0.5565097904500172,0,0.2525430359937402,0,0.10924630924630929,0,0.10924630924630929,0,0.019285838805561006,1,0.08238482384823853,1,0.3191602761297305,0
17,500,0.4396551724137931,0,0.5603448275862069,0,0.23076923076923073,0,0.23076923076923073,0,0.03578050918654605,1,0.33333333333333337,0,0.5684944646448838,0,0.9062354165918799,1,0.044625924723650734,1,0.10180890538033394,0,0.10180890538033394,0,0.0043167596228319075,1,0.0209737827715355,1,0.3456543794804049,0,0.8408662900188324,1,0.07412280701754387,1,0.08510638297872342,1,0.08510638297872342,1,0.002285415826914765,1,0.13799735545137637,0,0.5572143706815222,0,0.5808466342817489,0,0.244040404040404,0,0.1726450860309129,0,0.1726450860309129,0,0.0026045876303988427,1,0.025281129442666028,1,0.3332287905650318,0
18,500,0.3935483870967742,0,0.3081967213114754,0,0.18867924528301883,0,0.18867924528301883,0,0.05103324555113817,1,0.14,0,0.6382389082703318,0,0.7774073086156308,0,0.11769268739863198,0,0.11130434782608689,0,0.11130434782608689,0,0.00028834773777429434,1,0.018170019467877996,1,0.3170930608835612,0,0.9505832183619717,1,0.023153317270964313,1,0.05681818181818188,1,0.05681818181818188,1,0.004524825103918731,1,0.0423354923495729,1,0.31489765954041465,0,0.5264490269500554,0,0.29242318151471236,0,0.13461538461538458,0,0.171607178866707,0,0.005166256069148882,1,0.05483452303698888,1,0.5314618953605619,0
19,500,0.40476190476190477,0,0.36764705882352944,0,0.14189189189189189,0,0.14189189189189189,0,0.022876666589378675,1,0.13888888888888884,0,0.5406733836577767,0,0.6379310344827587,0,0.20999999999999996,0,0.04385964912280704,1,0.08127031757939485,1,0.0164086376724717,1,0.005048151599875816,1,0.3042870938322214,0,0.8669319186560566,1,0.06257796257796261,1,0.04921348314606744,1,0.04921348314606744,1,0.003950765849872813,1,0.02288006939926257,1,0.34735983893549516,0,0.5600867091180057,0,0.27297183690626314,0,0.11822660098522175,0,0.11822660098522175,0,0.007211856470777857,1,0.03290191797910491,1,0.251185475320528,0
20,500,0.360576923076923,0,0.5115384615384616,0,0.2777777777777778,0,0.2777777777777778,0,0.03523003524013704,1,0.15217391304347827,0,0.44924450170913965,0,0.73031394750386,0,0.1421981004070556,0,0.018681888946549097,1,0.042785011958543714,1,0.01172494553849409,1,0.12857524726009084,0,0.2635759688271113,0,0.9014634146341464,1,0.043989547038327526,1,0.009792401096748948,1,0.0433370660694289,1,0.024467629832454645,1,0.040606060606060534,1,0.38414133157086616,0,0.44216037760181576,0,0.35218446206705645,0,0.12449693788276472,0,0.1918825561312608,0,0.018618594769951584,1,0.05201884874803664,1,0.3692480061890877,0
