Model,Attribute,Subgroup,N,TPR,FPR,PPV,ECE,TPR_CI_Width,TPR_CV
Gradient Boosting,RACE,3,120761,0.7107758778514152,0.23186017327144348,0.716852231392751,0.005171293296086102,0.007724288940627377,0.002629086085614456
Gradient Boosting,RACE,4,37101,0.733594840768566,0.19397098821396191,0.7205642264742376,0.007938926720297564,0.0144449394440187,0.006381275155901849
Gradient Boosting,ETHNICITY,0,50674,0.739502871855813,0.18282039503904457,0.7282879016921051,0.00457046077980329,0.012773194033089186,0.005016487810398144
Gradient Boosting,ETHNICITY,1,134352,0.7272684085510689,0.24413640066290274,0.7254304217343231,0.004157406219087832,0.006821207029138909,0.002293297837605829
Gradient Boosting,SEX,0,67853,0.7272108264533151,0.3118444458075201,0.715977653631285,0.0036109698785714637,0.008969759584814163,0.0032837811177661843
Gradient Boosting,SEX,1,117173,0.7324476600345121,0.18512030575904104,0.7336984817877001,0.003051724765871792,0.008840404010158842,0.0030812207289886615
Gradient Boosting,AGE_GROUP,Adult (19-40),22527,0.9164960327617098,0.5406580663864328,0.793386140807622,0.008269331676132842,0.005159650159535789,0.0014556840307434126
Gradient Boosting,AGE_GROUP,Pediatric (0-18),162499,0.6872471130275555,0.20283601143689137,0.7076668085882853,0.002810532063715544,0.007235658622234853,0.0027687459066655876
Neural Network,RACE,0,712,0.5670995670995671,0.10810810810810811,0.7158469945355191,0.04394196168223585,0.1120917824865193,0.03403445874035771
Neural Network,RACE,1,3291,0.777445855115758,0.16700819672131148,0.761521580102414,0.04312549912248918,0.04268946987191824,0.013092526869190399
Neural Network,RACE,2,23161,0.8300173367456452,0.2924511223750905,0.7567933759879564,0.016521788234325888,0.017400389603343336,0.005471293105613852
Neural Network,RACE,3,120761,0.7166343231664897,0.2413250880720906,0.7103529625260866,0.008537547409427072,0.007724288940627377,0.002629086085614456
Neural Network,RACE,4,37101,0.7384482414733063,0.19936536718041706,0.7163495646565624,0.009574182583177392,0.0144449394440187,0.006381275155901849
Neural Network,ETHNICITY,0,50674,0.7503961180431769,0.1919745390117462,0.7214605350852138,0.010623729813701082,0.012773194033089186,0.005016487810398144
Neural Network,ETHNICITY,1,134352,0.7335233570863025,0.25444509985674557,0.7188503856360279,0.009103944910437131,0.006821207029138909,0.002293297837605829
Neural Network,SEX,0,67853,0.7396374159502936,0.32975525976814085,0.7080006517842594,0.010854842452626783,0.008969759584814163,0.0032837811177661843
Neural Network,SEX,1,117173,0.7361275702197551,0.19133103627993167,0.7281944758653313,0.009747503784243397,0.008840404010158842,0.0030812207289886615
Neural Network,AGE_GROUP,Adult (19-40),22527,0.8957640133094446,0.511813306276272,0.7985738733599543,0.023122720446542483,0.005159650159535789,0.0014556840307434126
Neural Network,AGE_GROUP,Pediatric (0-18),162499,0.7011134410348799,0.215623384433589,0.6990797320179636,0.010380846101773094,0.007235658622234853,0.0027687459066655876
