N,Rep,Acc,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
5000,3,0.879,0.4608781311567689,0.7288434789336036,0.803375426416901,0.5757910373854914
5000,4,0.869,0.6063741721854304,0.756690900044686,0.757554685949316,0.5538612141553318
5000,5,0.8722,0.6055045871559633,0.7859349074664965,0.856101001676855,0.5681580671846671
5000,6,0.8748,0.7119807758324751,0.7678729905385656,0.7797275825620317,0.5768786063211238
5000,7,0.8748,0.75,0.7613422056491363,0.8242989070868211,0.5509404485165883
5000,8,0.875,0.38375000000000004,0.7449601801735587,0.8315907219674477,0.5539826682389417
5000,9,0.873,0.3238180196253345,0.7313063120494332,0.798377620486939,0.5376265401877091
10000,0,0.8765,0.7186735850181906,0.738974926404574,0.8211430550240763,0.5515945527115106
10000,1,0.8783,0.43773364485981303,0.7896591517949142,0.8344949539201708,0.554508582452949
10000,2,0.8804,0.5396959459459459,0.7524612184054909,0.8142152448958354,0.5412841468875951
10000,3,0.8775,0.5792945225121882,0.7492270042936064,0.8110283414675914,0.5512380263871317
10000,4,0.8744,0.6511627906976745,0.751495996147159,0.8461726010940962,0.5434798307705934
10000,5,0.8766,0.6362319440420513,0.7616025271520696,0.8175831432873407,0.5577134347363852
10000,6,0.8777,0.7761830780991837,0.7467665488085026,0.8128963052092631,0.5581235306886885
10000,7,0.8765,0.6018987341772152,0.7714182766733394,0.8368498298614928,0.5462676352839176
10000,8,0.8792,0.7163833075734157,0.7544733948549834,0.8211836924534408,0.5840076827896683
10000,9,0.8843,0.6022479387732466,0.7501220691390322,0.8386464341347211,0.5370416658483589
25000,0,0.88076,0.765095786509376,0.7553564617915302,0.835027713806693,0.5653027093765681
25000,1,0.87836,0.6735188879389505,0.7578528487903613,0.8502359490665542,0.563827860972838
25000,2,0.88284,0.5641028647818286,0.7427830169088316,0.8135410917758354,0.548338682900368
25000,3,0.87868,0.7731752006634569,0.7464071022029724,0.8485641142203366,0.5640050453179658
25000,4,0.8818,0.6310893644477902,0.7611513353115728,0.8014366332196288,0.5566549602325548
25000,5,0.88016,0.6754680880142135,0.7654107351506472,0.8266702857404333,0.5637457169830993
25000,6,0.8788,0.5841250163121493,0.7636592401228828,0.8180448097139457,0.5625303282849612
25000,7,0.87636,0.5836688289975255,0.7744231495224537,0.8383962512738402,0.5525684869651964
25000,8,0.87948,0.4989291068751339,0.7668704115311494,0.8038685203835189,0.5619809825561253
25000,9,0.88052,0.5268453932518821,0.7657953469570439,0.8176553697564142,0.5453911743440414
50000,0,0.87832,0.6269532051720599,0.7682498937747051,0.8271530591500287,0.561097955315795
50000,1,0.87636,0.6372822531357766,0.7765979468690529,0.8242650295553385,0.5569740574856271
50000,2,0.88068,0.6583171134288976,0.7625223985421853,0.8408192255140322,0.559060826697752
50000,3,0.88004,0.6024922529175183,0.7674854931102225,0.8298570381937407,0.5538376064432421
50000,4,0.8751,0.6875520294644434,0.7631764599751113,0.834602910373603,0.5690888472396267
50000,5,0.87784,0.643500602321939,0.7556594468092794,0.8276220152748349,0.5558404593307914
50000,6,0.87728,0.660518202070855,0.7513121783693094,0.8260639926230285,0.5581771625211512
50000,7,0.87832,0.7014764399968483,0.7580349192886352,0.8368419460588636,0.5569217515222946
50000,8,0.87486,0.7522998708844416,0.759255470775494,0.8253881457493882,0.5627420886474442
50000,9,0.87838,0.5895544517755208,0.7588141558304076,0.8386370134818389,0.5644010134894496
100000,0,0.87787,0.6638199745547074,0.7614817915511738,0.8284414663859204,0.5635944135050558
100000,1,0.87834,0.6678994933763971,0.7577115634421061,0.8258131145204424,0.552342233114197
100000,2,0.8767,0.6267732267732268,0.7655609948318739,0.8265199335970377,0.5568396206684617
100000,3,0.8775,0.6380170848852681,0.7557143567699125,0.8301874659047694,0.5564919220898281
100000,4,0.87695,0.7247618614295139,0.7598911054911476,0.8372954170719468,0.5590008687946039
100000,5,0.8774,0.6223530341340074,0.7599296144365546,0.8316684411981434,0.5578749878745538
100000,6,0.87827,0.64292539157321,0.7623446791310535,0.8274277018226065,0.5571077602613959
100000,7,0.87664,0.5987849215461155,0.7632867094406233,0.8357135689807271,0.5592429180483626
100000,8,0.87682,0.6710047986040424,0.7655261731909676,0.8302768322818731,0.5600331330737196
100000,9,0.87799,0.6697944219339343,0.7594710846449099,0.8296319557391708,0.5579020777533263
185026,0,0.8776009858074001,0.651643609221318,0.7612648534660794,0.8302202897277289,0.5584223735850364
