Subset,N,Accuracy,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
11,10000,0.8776,0.535729567821994,0,0.22805616277114515,0,0.13750000000000007,0,0.13750000000000007,0,0.031409191475214315,1,0.04250309789343254,1,0.4519888631177729,0,0.7351184085987262,0,0.14115118765507229,0,0.05292268900556851,1,0.05292268900556851,1,0.0006095536218340969,1,0.010085545461114509,1,0.04999779122719733,1,0.8136561504821864,1,0.08725767867062878,1,0.05931593922772638,1,0.05931593922772638,1,0.005268951888292614,1,0.01652553167069304,1,0.06509690705991927,0,0.27673131982864396,0,0.452021826254117,0,0.21952772404900067,0,0.21952772404900067,0,0.009747922878824915,1,0.06708986806074191,1,0.26482960323089194,0
12,10000,0.8738,0.7660042440482644,0,0.12036203421159564,0,0.11744885679903727,0,0.11744885679903727,0,0.01761330108177986,1,0.08436532507739947,1,0.38857052979906226,0,0.7535298493901108,0,0.12855189498696612,0,0.04110893198265242,1,0.0560461358800851,1,0.00489326811409186,1,0.0021369863013698254,1,0.06389964167883488,0,0.8637258463800197,1,0.06222103919049771,1,0.015135996719964573,1,0.019651349885768638,1,0.0018363955074505167,1,0.007223931153618968,1,0.07114804655754542,0,0.29600439031597614,0,0.42570990047512836,0,0.20840247666970013,0,0.20840247666970013,0,0.014981160665179162,1,0.04885852646143196,1,0.18695514683740072,0
13,10000,0.8819,0.6864035087719299,0,0.15629729275264836,0,0.06615384615384612,1,0.06615384615384612,1,0.018867665432218746,1,0.0872560275545351,1,0.4542584777094769,0,0.7559588477345808,0,0.1275807515157245,0,0.05017094276605427,1,0.05017094276605427,1,0.0018612400299476278,1,0.010452924436319733,1,0.0884077116945842,0,0.8005494941878648,1,0.09297181910114655,1,0.046682920781850545,1,0.046682920781850545,1,0.0007770577788246413,1,0.008599806950318478,1,0.0845047732639384,0,0.28430034129692827,0,0.440546218487395,0,0.19061145090169518,0,0.19061145090169518,0,0.015357302393687135,1,0.05631868131868134,1,0.11925546119694042,0
14,10000,0.8713,0.4258141314514072,0,0.2838826298974273,0,0.40909090909090906,0,0.40909090909090906,0,0.021010055930697005,1,0.13607594936708856,0,0.5459620089749246,0,0.7686365900570022,0,0.11994012367097556,0,0.031430172462414974,1,0.045105274003098245,1,0.0066080502504277105,1,0.011322516119355086,1,0.06489429309830869,0,0.8745546640920313,1,0.0573542799119835,1,0.01918359336669606,1,0.01918359336669606,1,0.0005690380466057479,1,0.009417907389092317,1,0.04711647162338889,1,0.2929288310738209,0,0.43622864203242373,0,0.19355029565793613,0,0.19355029565793613,0,0.015372712505054072,1,0.09925738515238836,1,0.15866456032611392,0
15,10000,0.8808,0.7116104868913857,0,0.15937315198107632,0,0.09447172213129662,1,0.18550474547023293,0,0.05014085847482659,1,0.14954561977462744,0,0.8308776259104986,0,0.7482636872509096,0,0.13470885497751273,0,0.03933618461329158,1,0.05591324103047708,1,0.006788619238889286,1,0.0005219897484834979,1,0.056561417748125675,0,0.8192276862341685,1,0.0855216025345028,1,0.022219215562470973,1,0.028359525540248842,1,0.0025722056696922957,1,0.004947271918797069,1,0.10971948923968722,0,0.29870853740972214,0,0.4388500886671415,0,0.1590779405597531,0,0.1590779405597531,0,0.018435155204833534,1,0.031956133707987555,1,0.18764259113235565,0
16,10000,0.8752,0.5361258175023357,0,0.2504624180258954,0,0.05477568054633397,1,0.13774597495527727,0,0.019008736533328525,1,0.1304909560723514,0,0.4238111364663155,0,0.7776555269785993,0,0.11551633601111844,0,0.03506390405015547,1,0.04002829764582119,1,0.001563768863174421,1,0.01019041437119439,1,0.06381363564474174,0,0.8089194412547343,1,0.08997931468082054,1,0.025938093203420998,1,0.025938093203420998,1,0.0016485971747863537,1,0.01281308462240427,1,0.06634033115143212,0,0.30696210975158517,0,0.4268945551250716,0,0.20612130737060808,0,0.20612130737060808,0,0.015652812614121374,1,0.08745519713261651,1,0.3514453554564252,0
17,10000,0.8806,0.6524231370505471,0,0.16823608542122082,0,0.07374287195438045,1,0.07374287195438045,1,0.032388972031219404,1,0.059523809523809534,1,0.41928014563015314,0,0.7468455695307044,0,0.13048109711601652,0,0.03160174609255373,1,0.04955490750488063,1,0.0038600097102641714,1,0.0039726782651310355,1,0.06600095269650808,0,0.830262193090649,1,0.07685273025632067,1,0.016861407748289925,1,0.016861407748289925,1,0.0031163884023987024,1,0.02943136522357359,1,0.09637942864942506,0,0.2688819042783345,0,0.4392216055277049,0,0.22883982936017,0,0.22883982936017,0,0.021924721035370735,1,0.07017309712743325,1,0.18207124796221813,0
18,10000,0.8774,0.7493266832917704,0,0.126137531570435,0,0.10113207547169811,0,0.10113207547169811,0,0.042564265933842896,1,0.16031746031746041,0,0.7639419572973961,0,0.7277683125665727,0,0.14504272360172232,0,0.052028193196784644,1,0.06672070037586425,1,0.00419405731643234,1,0.00826349361560863,1,0.08365381663833432,0,0.800427541110224,1,0.09274281802842654,1,0.03889002011867593,1,0.03889002011867593,1,0.000984774647780462,1,0.025333915581090327,1,0.09264469062559272,0,0.28938662619096545,0,0.4356332976109867,0,0.19849781215814977,0,0.19849781215814977,0,0.012966826765989738,1,0.0590514952771275,1,0.2914580699774133,0
19,10000,0.8789,0.7815230961298377,0,0.11307750296155361,0,0.052042847663285596,1,0.06532925763694993,1,0.030047903363127043,1,0.020061728395061706,1,0.4546849947045347,0,0.7657414954595115,0,0.12202795558235097,0,0.022428998150870072,1,0.04681337625826125,1,0.005266834249130499,1,0.0068870033046997126,1,0.0736031005938872,0,0.8465651608714391,1,0.07114811601693527,1,0.020582833602224238,1,0.03963472177938143,1,0.012372468652784727,1,0.015417234590337725,1,0.11381274275762798,0,0.2920959357277883,0,0.43493757259001153,0,0.1660454200317526,0,0.1660454200317526,0,0.018810599916390905,1,0.07775935139119217,1,0.21763056709358763,0
20,10000,0.8747,0.707959982601131,0,0.1411215739028081,0,0.09402985074626868,1,0.09402985074626868,1,0.022290741717240756,1,0.1919898283534648,0,0.566972215425568,0,0.770730818608104,0,0.11646621776491906,0,0.028172312584077375,1,0.03899447734096673,1,0.005702749646472938,1,0.012870368276488353,1,0.0806703565938171,0,0.8632262499323029,1,0.061683766667159134,1,0.024774399140708114,1,0.024774399140708114,1,0.0012851810576238812,1,0.008525274790657567,1,0.11719429537903947,0,0.28964616986370517,0,0.43005204851494605,0,0.1951166297798661,0,0.1951166297798661,0,0.0163746589846879,1,0.1350647094588725,0,0.1982243930110903,0
