Model,Attribute,Metric,Mean,Std,CV,Min,Max,Range,N_Fair_Folds,Pct_Fair
Fair,ETHNICITY,DI,0.9283292621948359,0.048884125670330354,0.052658175995394456,0.8414515226633915,0.9976284279340913,0.15617690527069983,20,100.0
Fair,ETHNICITY,SPD,0.03220785513719547,0.022789718557655422,0.7075826210897401,0.0010465777716598401,0.07477666621856577,0.07373008844690593,20,100.0
Fair,ETHNICITY,EOPP,0.03652272770403849,0.031211531448548782,0.8545783245290733,0.0041000366599815985,0.11443572447632,0.1103356878163384,19,95.0
Fair,ETHNICITY,EOD,0.052951788762770347,0.039497177288704416,0.7459082726299574,0.005069305048839817,0.14084497661497958,0.13577567156613976,18,90.0
Fair,ETHNICITY,TI,0.4845054694229113,0.016965337683103487,0.03501578156240568,0.4446,0.5076,0.06300000000000006,0,0.0
Fair,ETHNICITY,PP,0.09137183558751875,0.0646999857419513,0.7080955014850244,0.019672910961125223,0.22776393860133037,0.20809102764020515,14,70.0
Fair,ETHNICITY,CAL,0.14651315990914604,0.07665876521174876,0.5232210216425983,0.05890529292261498,0.3310585023838829,0.2721532094612679,0,0.0
Fair,AGE_GROUP,DI,0.8184936760471289,0.164927523239609,0.20150127980965912,0.3616631662488749,0.9971529306778756,0.6354897644290007,17,85.0
Fair,AGE_GROUP,SPD,0.09279401152288155,0.09972424632009179,1.0746840737185002,0.001178807505459567,0.391869056927534,0.3906902494220744,17,85.0
Fair,AGE_GROUP,EOPP,0.16863391533616445,0.07270125578931841,0.4311188271018412,0.01672708681911128,0.2952954262585874,0.2785683394394761,3,15.0
Fair,AGE_GROUP,EOD,0.1932846483839688,0.059659936590783676,0.3086636061870081,0.08984588121805381,0.2952954262585874,0.2054495450405336,1,5.0
Fair,AGE_GROUP,TI,0.48318797984261047,0.01438037372658856,0.029761447565961184,0.4551456310679612,0.5032098765432098,0.048064245475248624,0,0.0
Fair,AGE_GROUP,PP,0.45366890102756036,0.08553970029728918,0.18855094564238742,0.3001894415901494,0.6308446610612619,0.33065521947111254,0,0.0
Fair,AGE_GROUP,CAL,0.3207048002786378,0.06647103161165256,0.2072654714051694,0.24471953666530105,0.45163537920781116,0.2069158425425101,0,0.0
