Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,Total_Fair
Standard,0.7,0.4,0.0,0.8287646060553652,0.9527086438132844,4.8836379752034915,0.9267634583910795,4,0.7939288032853213,2,0.9476983994381694,6,0.9641533090872834,7,19
Standard,0.7,0.4,0.4,0.8458973333477458,0.9527086438132844,3.170365245965434,0.8286646265339058,5,0.6308750061856773,1,0.8963118651405686,7,0.9229533871778164,7,20
Standard,0.7,0.4,0.8,0.85431777155643,0.9527086438132844,2.328321425097013,0.7810064852952698,3,0.5415503734882207,1,0.86835906990373,7,0.9027578249625706,7,18
Standard,0.7,0.8,0.0,0.7778312237199096,0.9527086438132844,9.976976208749043,0.9367756596389346,4,0.7482531633926629,1,0.9021845649948449,5,0.9438344630158216,6,16
Standard,0.7,0.8,0.4,0.795688173553987,0.9527086438132844,8.191281225341307,0.899105281071207,4,0.846974968254101,3,0.9389400625174462,5,0.9556884395594594,6,18
Standard,0.7,0.8,0.8,0.8301536000345897,0.9527086438132844,4.744738577281038,0.8791629548075379,4,0.7640005070138951,1,0.9561670577420756,6,0.9681163257298625,7,18
Standard,0.7,1.0,0.0,0.7637142888026548,0.9527086438132844,11.38866970047453,0.9113159519509174,3,0.719885991466305,1,0.8712087690846826,5,0.9405965199652071,6,15
Standard,0.7,1.0,0.4,0.7773880427615578,0.9527086438132844,10.021294304584227,0.9018881211254668,4,0.7656544209214614,1,0.8913299518809215,5,0.9436675770533484,6,16
Standard,0.7,1.0,0.8,0.8000389134500017,0.9527086438132844,7.756207235739843,0.9013210030283304,4,0.9080234079008415,3,0.9450089843527636,5,0.9570975923674189,6,18
Standard,0.8,0.0,0.0,0.8446056229935253,0.9527086438132844,3.299536281387483,0.8487559509773305,5,0.6329001376218524,1,0.8825028769555543,7,0.9217376333271932,7,20
Standard,0.8,0.0,0.4,0.8536692140564028,0.9527086438132844,2.3931771750997255,0.8037854381940209,5,0.5432163434034302,1,0.8573625277305268,7,0.9013791389552341,7,20
Standard,0.8,0.0,0.8,0.8595981105358166,0.9527086438132844,1.8002875271583507,0.7778981435158403,3,0.47850100921788385,1,0.8396992662243722,7,0.8860898709373025,7,18
Standard,0.8,0.4,0.0,0.7925750975538572,0.9527086438132844,8.502588825354284,0.9445145205859591,4,0.8305057111843372,3,0.9464458531476366,5,0.9523123452064671,6,18
Standard,0.8,0.4,0.4,0.8301968372012583,0.9527086438132844,4.740414860614184,0.8914710059274431,4,0.7598815997705026,1,0.9397721968226787,6,0.960157593521822,7,18
Standard,0.8,0.4,0.8,0.8447785716601991,0.9527086438132844,3.2822414147200996,0.8232886077226572,4,0.6199672059859709,1,0.8946346590334767,7,0.9230662061018459,7,19
Standard,0.8,0.8,0.0,0.7604390734275183,0.9527086438132844,11.716191237988182,0.9345730484532131,3,0.7309343203608905,1,0.8698298199261278,5,0.9365721188968218,6,15
Standard,0.8,0.8,0.4,0.7746749105531114,0.9527086438132844,10.292607525428865,0.9229783284948493,4,0.7791199100421573,1,0.8907693092143762,5,0.9409680313850567,6,16
Standard,0.8,0.8,0.8,0.8012117215958838,0.9527086438132844,7.638926421151626,0.9009636667396038,4,0.9612838947805548,3,0.9578464274151056,5,0.952491014630017,6,18
Standard,0.8,1.0,0.0,0.7428847837601202,0.9527086438132844,13.471620204727985,0.8981188347473503,3,0.6877822402122011,1,0.8341966483010618,5,0.9100561771648421,5,14
Standard,0.8,1.0,0.4,0.7600553435733356,0.9527086438132844,11.75456422340645,0.8997935908436763,5,0.7362733087721764,1,0.8594302875898605,5,0.9361414994715289,6,17
Standard,0.8,1.0,0.8,0.7732751072822198,0.9527086438132844,10.432587852518028,0.9213880964856106,4,0.7901942213697796,1,0.8793938516553591,5,0.9393039602895309,6,16
Standard,0.9,0.0,0.0,0.8294942332428956,0.9527086438132844,4.810675256450447,0.9084572453151016,3,0.7589853419460301,1,0.9209543333385476,6,0.9546391356514053,7,17
Standard,0.9,0.0,0.4,0.8439678747851653,0.9527086438132844,3.3633111022234763,0.8365722596797938,5,0.6201875975730843,1,0.8811525545447202,7,0.9205763933526847,7,20
Standard,0.9,0.0,0.8,0.8522315782646763,0.9527086438132844,2.5369407542723765,0.8002017703518041,4,0.5370767551997168,1,0.8594511416434456,7,0.9027601386561607,7,19
Standard,0.9,0.4,0.0,0.7718482807821604,0.9527086438132844,10.57527050252397,0.9374745209961779,3,0.7733214905879615,1,0.9012639585074377,5,0.9353489246021953,6,15
Standard,0.9,0.4,0.4,0.8009847264708744,0.9527086438132844,7.661625933652571,0.929169513768793,4,0.9653373156204915,3,0.9737245657714678,5,0.9584797751572692,6,18
Standard,0.9,0.4,0.8,0.8303049301179294,0.9527086438132844,4.72960556894707,0.8584675595177274,4,0.7346879562087346,1,0.9311782362928095,6,0.9556419883455143,7,18
Standard,0.9,0.8,0.0,0.7385124252807713,0.9527086438132844,13.908856052662877,0.889330054449677,3,0.6677117890383897,1,0.8380842314679995,5,0.9057414883727993,5,14
Standard,0.9,0.8,0.4,0.7564720633856863,0.9527086438132844,12.11289224217138,0.9329191951343052,5,0.7198459121003005,1,0.8588817432592979,5,0.9328452862356806,6,17
Standard,0.9,0.8,0.8,0.7702701241987613,0.9527086438132844,10.73308616086388,0.9316934976720109,4,0.7752114326195997,1,0.8791747760543231,5,0.9373720306369426,6,16
