Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,EOPP_RACE,EOPP_AGE,EOPP_SEX,EOPP_ETH,EOD_RACE,EOD_AGE,EOD_SEX,EOD_ETH,SPD_RACE,SPD_AGE,SPD_SEX,SPD_ETH,Total_Fair
Standard,0.3,0.4,0.4,0.871958535557165,0.9527087450567469,0.5642450250235131,0.6847133047975744,3,0.4010562201191332,3,0.8134837055544614,7,0.8601804537578539,7,0.044997074123287795,0.07492327448739111,0.007775636509168793,0.005616577493062103,0.044997074123287795,0.07492327448739111,0.014793336687536601,0.01372233754407888,0.157799895116209,0.3355725902235867,0.09172567505273427,0.06305366996932793,20
Standard,0.3,0.4,0.8,0.8740447288489185,0.9527087450567469,0.35562569584816073,0.6455354821630873,3,0.3656663993913258,1,0.8055464445686996,7,0.8520581885865033,7,0.07256559175984578,0.11485147397090156,0.009137454536234824,0.009905576184743525,0.07256559175984578,0.11485147397090156,0.020679860966971053,0.016331530763030955,0.18123435172163205,0.3610168465274244,0.09582969714039546,0.06662953336622657,18
Standard,0.3,0.8,0.0,0.8558526909731605,0.9527087450567469,2.1748294834239568,0.822107466425149,5,0.5722025851692772,3,0.8763420528884048,7,0.9048349131116784,7,0.05005534106500009,0.0766198394754487,0.006592498879931852,0.009262571220095328,0.055703443375420214,0.0766198394754487,0.027628787111641406,0.009262571220095328,0.08661517642258948,0.2267723406484623,0.059768706372185065,0.043529498999902605,22
Standard,0.3,0.8,0.4,0.863473241598478,0.9527087450567469,1.4127744208922044,0.7622562021208897,3,0.49800636921701874,3,0.8535238534860643,7,0.8878373452332424,7,0.011032466489974468,0.05683679531155694,0.004489945094393599,0.002784516959450589,0.05099412937527692,0.05683679531155694,0.010676909417033836,0.002784516959450589,0.11871279402754242,0.2711682373932384,0.07106315516030609,0.050932858496078315,20
Standard,0.3,0.8,0.8,0.8685049668695211,0.9527087450567469,0.9096018937879036,0.6934048878590477,3,0.44083153979859324,3,0.8376868832307622,7,0.8751471227542661,7,0.07210635205351634,0.059616894571214885,0.002295602936329688,0.0008188399763081611,0.07210635205351634,0.059616894571214885,0.002295602936329688,0.006495221123443057,0.15649442665387236,0.30727889440313155,0.07893546677599084,0.05640552496564483,20
Standard,0.3,1.0,0.0,0.8433139126393048,0.9527087450567469,3.4287073168095317,0.8930304892501366,4,0.6897947789240401,1,0.9221438715638922,6,0.9364564134828287,7,0.05233081126749084,0.11901100827563516,0.012783051360801378,0.01544554576551227,0.1343321751540434,0.1324235785467624,0.060570212260555034,0.022487225667230326,0.05215693125936738,0.16086555437115635,0.03732109757140939,0.029471298998585638,18
Standard,0.3,1.0,0.4,0.8561391372023391,0.9527087450567469,2.146184860506095,0.8237806269604654,5,0.566360273255635,3,0.8817449723850844,7,0.9060433940198401,7,0.011250885037292768,0.0742233644369984,0.009861636146435537,0.00846856154107789,0.08658756511007075,0.0742233644369984,0.030255094499708396,0.00846856154107789,0.08802979776639247,0.22965601056556645,0.05692721356481811,0.042948054685152115,22
Standard,0.3,1.0,0.8,0.8632678650568029,0.9527087450567469,1.4333120750597228,0.7413660406133254,3,0.493211587575215,3,0.8605083749622169,7,0.888332632927659,7,0.06530066977520121,0.06724695433868744,0.008960205705049296,0.0027981082305519323,0.06981918852373502,0.06724695433868744,0.013746866610031397,0.0027981082305519323,0.13229292849418994,0.27339396585416875,0.0673148389936653,0.050677196507195876,20
Standard,0.5,0.0,0.0,0.8672781122653033,0.9527087450567469,1.0322873542096822,0.7332830075252214,3,0.4410437412592872,3,0.8179641977922714,7,0.8709960121729073,7,0.028566902353310164,0.06727459676389436,0.008816537640485289,0.00027473750122908314,0.03470670614822928,0.06727459676389436,0.00890600165495585,0.008789825285382635,0.1272033115528865,0.30191731022460533,0.08802524142245421,0.05721124067153194,20
Standard,0.5,0.0,0.4,0.8706776344946116,0.9527087450567469,0.6923351312788539,0.6878483393555412,3,0.39785426783109407,3,0.8070245731762837,7,0.8606278336995222,7,0.052009479193945274,0.09887371406799039,0.011413932166897456,0.005281881269026734,0.052009479193945274,0.09887371406799039,0.016064610941117094,0.012187909474668995,0.1529692737064292,0.3309872546301764,0.09365364545863819,0.061729487673248096,20
