Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
Logistic Regression,ETHNICITY,TI,0.000954,0.000703,0.1,0.099,141.0,0.0,100.0,FAIR
Logistic Regression,ETHNICITY,PP,0.016467,0.005242,0.1,0.0835,15.9,0.0,100.0,FAIR
Logistic Regression,ETHNICITY,CAL,0.080191,0.004398,0.05,0.0302,6.9,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,DI,0.465403,0.002939,0.8,0.3346,113.9,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,SPD,0.338124,0.002788,0.1,0.2381,85.4,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,EOPP,0.178142,0.00324,0.1,0.0781,24.1,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,EOD,0.199223,0.005152,0.1,0.0992,19.3,0.0,0.0,UNFAIR
Logistic Regression,AGE_GROUP,TI,0.011571,0.000935,0.1,0.0884,94.6,0.0,100.0,FAIR
Logistic Regression,AGE_GROUP,PP,0.055052,0.006155,0.1,0.0449,7.3,0.0,100.0,FAIR
Logistic Regression,AGE_GROUP,CAL,0.08052,0.005129,0.05,0.0305,6.0,0.0,0.0,UNFAIR
Random Forest,RACE,DI,0.613954,0.051706,0.8,0.186,3.6,0.0,0.0,UNFAIR
Random Forest,RACE,SPD,0.193173,0.026344,0.1,0.0932,3.5,0.0,0.0,UNFAIR
Random Forest,RACE,EOPP,0.086393,0.042277,0.1,0.0136,0.3,0.3667,63.3,FAIR
Random Forest,RACE,EOD,0.087764,0.040867,0.1,0.0122,0.3,0.3667,63.3,FAIR
Random Forest,RACE,TI,0.008939,0.003668,0.1,0.0911,24.8,0.0,100.0,FAIR
Random Forest,RACE,PP,0.077134,0.039395,0.1,0.0229,0.6,0.2667,73.3,FAIR
Random Forest,RACE,CAL,0.284899,0.09485,0.05,0.2349,2.5,0.0,0.0,UNFAIR
Random Forest,SEX,DI,0.750128,0.005735,0.8,0.0499,8.7,0.0,0.0,UNFAIR
Random Forest,SEX,SPD,0.129879,0.003667,0.1,0.0299,8.1,0.0,0.0,UNFAIR
Random Forest,SEX,EOPP,0.044232,0.004127,0.1,0.0558,13.5,0.0,100.0,FAIR
Random Forest,SEX,EOD,0.060416,0.003509,0.1,0.0396,11.3,0.0,100.0,FAIR
Random Forest,SEX,TI,0.003532,0.001036,0.1,0.0965,93.1,0.0,100.0,FAIR
Random Forest,SEX,PP,0.003434,0.002073,0.1,0.0966,46.6,0.0,100.0,FAIR
