Model,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_Fair,Fair_DI
LightGBM,RACE,0.6606650293378517,0.17313247909479762,0.03974978762397241,0.03974978762397241,0.0047348492722637525,0.092463188626555,0.10154220790136959,4,N
LightGBM,SEX,0.7589574817751763,0.1253685394996869,0.03537632633742638,0.05229880121258337,0.004850766222823537,0.0008582916432036125,0.03144278464643868,5,N
LightGBM,ETHNICITY,0.8305916500676211,0.07829361128975576,0.020482751223285023,0.02793120135360591,0.0025253759478672047,0.003079031440997637,0.028519105613236673,7,Y
LightGBM,AGE_GROUP,0.5255636878982716,0.2868709725908216,0.08449982310971482,0.09197211222492695,0.00504628922144492,0.04869581426921654,0.03449061691386546,5,N
AdaBoost,RACE,0.6227559143781041,0.1812191915992062,0.13513347493930017,0.13513347493930017,0.0032402731131323838,0.11658687218282437,0.19140446092586516,1,N
AdaBoost,SEX,0.6985305639681029,0.15948072165364757,0.08166130198126653,0.09951818956296925,0.003255431500767937,0.01573605325362404,0.20315313696581255,4,N
AdaBoost,ETHNICITY,0.7813852823699152,0.09952964178634777,0.05512457724278319,0.05512457724278319,0.0013412052790880702,0.007860000888090801,0.18552871947641736,5,N
AdaBoost,AGE_GROUP,0.4593481984198724,0.3348729943446684,0.17780077677119932,0.17780077677119932,0.003353126681583947,0.04480622654043731,0.19835514090157463,2,N
GradientBoosting,RACE,0.6203013015640774,0.19085757295414757,0.0685786705204181,0.0685786705204181,0.003896528413408505,0.0667496219806819,0.13063373001006445,4,N
GradientBoosting,SEX,0.7485698918342898,0.13064523784649823,0.045841158132389204,0.057949800370996715,0.0033856713907784858,0.00040922835028323057,0.033709748262690076,5,N
GradientBoosting,ETHNICITY,0.8235689403796691,0.08099161606886318,0.028231826908646784,0.029956349975747323,0.0016061679457138808,0.00426285238453783,0.02876845597080352,7,Y
GradientBoosting,AGE_GROUP,0.5079627042941364,0.2990463278525106,0.10772584036052435,0.1092738333886657,0.0035092964749188493,0.045033816285231065,0.03287119883788581,3,N
DecisionTree,RACE,0.6335268965597729,0.18280142325654952,0.11037506183137247,0.11037506183137247,0.014358513351863493,0.09847831732017653,0.2883396737223314,2,N
DecisionTree,SEX,0.7505239986894824,0.12867392182901544,0.04491521233342399,0.06570473324844184,0.006399429890335873,0.003342394671604687,0.050666020667352374,4,N
DecisionTree,ETHNICITY,0.8310828910202982,0.07691743251429228,0.02924602552938449,0.02924602552938449,0.0005169057080303407,0.01382132440603967,0.05561750587536696,6,Y
DecisionTree,AGE_GROUP,0.5173012408368283,0.2894865389083843,0.10705184788194344,0.11898002904741352,0.00876125276656925,0.06209893481132911,0.05813685658571921,2,N
CatBoost,RACE,0.6040707911968769,0.19699875662739913,0.09216026691754842,0.09216026691754842,0.0065187673245722805,0.062046050988266654,0.127142226932056,4,N
CatBoost,SEX,0.7400730979550343,0.13483040059063944,0.05316527250567382,0.06450906860783336,0.0027958784374745235,0.0008011418651362456,0.035577657550748265,5,N
CatBoost,ETHNICITY,0.824080378788308,0.08009166570393866,0.029758819624685184,0.030322085191203982,0.0008516231877987446,0.00695298847817416,0.03074157246207665,7,Y
CatBoost,AGE_GROUP,0.4961312251661899,0.3066438804365836,0.124161190486627,0.124161190486627,0.0026649835701789,0.04429626048628854,0.03944751740240071,3,N
DNN (PyTorch),RACE,0.59648242935663,0.20047824728609553,0.15634850586306892,0.15634850586306892,0.011180135178825011,0.10548781969516186,0.12077757889631563,1,N
DNN (PyTorch),SEX,0.7297991052731607,0.1434410627231733,0.059700115879568805,0.08272866585191986,0.0025451950341754057,0.00483469481407961,0.05152120602801774,4,N
DNN (PyTorch),ETHNICITY,0.7980592353332117,0.09406226221304942,0.05109433960488874,0.05109433960488874,0.0004094255920589207,0.0032020908443435303,0.02952567647419918,6,N
DNN (PyTorch),AGE_GROUP,0.4738550510493227,0.33106360991763306,0.159378083262515,0.16220023297265992,0.0005236947069609879,0.04440376116446576,0.03378165556856716,3,N
Stacking Ensemble,RACE,0.6486577157212797,0.17877331808750563,0.050048550750276144,0.050048550750276144,0.0074018024486538145,0.08775128860163028,0.28247360843081826,4,N
Stacking Ensemble,SEX,0.7555513382824595,0.12727700720408808,0.03950437350776326,0.05477600283854889,0.006178362528621029,0.0014684226648934429,0.09340058423620767,4,N
Stacking Ensemble,ETHNICITY,0.8273725369107483,0.07973766750322125,0.022716922849660093,0.030314940802054158,0.0032985580689941785,0.002198687400888799,0.08403396275626784,6,Y
Stacking Ensemble,AGE_GROUP,0.5203484727063439,0.2907866211022029,0.09291435480379873,0.09922453865463986,0.006471494125737186,0.04923929417935058,0.09112321725582595,4,N
LGB-XGB Blend,RACE,0.6491595361201846,0.17913904088090743,0.043253232636539796,0.043253232636539796,0.004652186584754477,0.08169015699392612,0.18994461117935474,4,N
LGB-XGB Blend,SEX,0.7593577987884946,0.12522416816613918,0.035756636438154965,0.051672850943073126,0.004864034885133657,0.0016888586082326462,0.030739542495204997,5,N
LGB-XGB Blend,ETHNICITY,0.8305499612674601,0.07837720135879056,0.02041917474780397,0.028122863969803902,0.002578363234229851,0.002959896810894147,0.03495845139171161,7,Y
LGB-XGB Blend,AGE_GROUP,0.5259041123596858,0.2868205975473034,0.08416838035324592,0.09218751345285178,0.005084038663601964,0.04885836663833798,0.025659522519678513,5,N
