Seed,Accuracy,AUC,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
71,0.8669430242236226,0.9452064665596478,0.654224468018329,0,0.17370140816919571,0,0.06798379613913597,1,0.06798379613913597,1,0.0066533002684366835,1,0.1071384233395406,0,0.0991715816503162,0,0.7510387533886196,0,0.1292596606910869,0,0.04276439758735118,1,0.057463085632239286,1,0.0037758788686076197,1,1.162080567429502e-05,1,0.0395124483915093,1,0.8232097527732757,1,0.0812512459472769,1,0.02804641826019494,1,0.03017293777313175,1,0.001595662884570144,1,0.003625778940696711,1,0.026325711804273788,1,0.5099021878307867,0,0.297725396288749,0,0.10495050767257008,0,0.10742245346054198,0,0.0039125203460854685,1,0.045176494956742586,1,0.04257512381603945,1
78,0.8661701598694238,0.9451814055577477,0.6435691334572792,0,0.1796851084906873,0,0.06574331817050272,1,0.06574331817050272,1,0.005812558429175295,1,0.09470086268647426,1,0.1254541456025123,0,0.7520258368422224,0,0.12861195156954758,0,0.042200197531069183,1,0.05706039351336316,1,0.003836495741919327,1,0.0005962067397111692,1,0.03986254164943853,1,0.8243878670416077,1,0.08065751078110867,1,0.027761853079723675,1,0.029549058045745355,1,0.0015787818518473717,1,0.004590003852024571,1,0.029500839077981178,1,0.5100099623775126,0,0.29754250758513145,0,0.10438466829857662,0,0.1084823546019509,0,0.004058654172003601,1,0.044857759434651534,1,0.03676430793368779,1
85,0.8663485131819312,0.945148916613298,0.6454706377548078,0,0.17897143056736697,0,0.06440161779967601,1,0.06440161779967601,1,0.006955587963161043,1,0.09334853185791636,1,0.0805041116539183,0,0.7506527822144405,0,0.12957764942355698,0,0.043486434501912696,1,0.05765930032578903,1,0.003799023844091226,1,0.00030193214908991184,1,0.044770941489401306,1,0.8223750599204279,1,0.08170493403088569,1,0.028290209627362062,1,0.030921660908493603,1,0.0015546388670666864,1,0.003016826486805013,1,0.0279172116789006,1,0.5097914197850179,0,0.298002895348125,0,0.10432698853053246,0,0.10924851529789309,0,0.003903078057424965,1,0.044340705572732286,1,0.03816657545676483,1
92,0.866840335952785,0.9452091818432268,0.6385439922409691,0,0.18206233696804347,0,0.06798379613913597,1,0.06798379613913597,1,0.0057203870549405456,1,0.08806205020823399,1,0.10283973965427329,0,0.7514516734954774,0,0.12892073086417216,0,0.04238213567202698,1,0.05721258777430681,1,0.0038607993655430245,1,9.411836609041213e-05,1,0.040209813878139655,1,0.823353746917457,1,0.08112853102451195,1,0.028391247955311116,1,0.029746760030119168,1,0.0015478021520843183,1,0.004152904331852003,1,0.02759111016140603,1,0.5106210717676272,0,0.2969245295690995,0,0.10474312455465962,0,0.10609068676232979,0,0.00396852534605803,1,0.046226405721659924,1,0.039049156039550725,1
99,0.8668241220152844,0.9450727855416331,0.6533260394295133,0,0.17439222462789777,0,0.08261641271350006,1,0.08261641271350006,1,0.006279929605344292,1,0.11481351881317547,0,0.1286128752373253,0,0.7519901943375835,0,0.12871816008441278,0,0.04191543963754041,1,0.05723659423713005,1,0.0038055389493009267,1,0.00021070836269665438,1,0.04309135839675782,1,0.8243557316378266,1,0.08072587146322707,1,0.027113673176269226,1,0.02996179029168533,1,0.0016346852135747797,1,0.0038457524834849544,1,0.027930537565863944,1,0.510783031476551,0,0.29708540784778964,0,0.10422618343763268,0,0.10688282889321413,0,0.003900933221183997,1,0.04587677709404636,1,0.03998295607977831,1
106,0.8669592381611233,0.9453415757240775,0.6529897645529089,0,0.17465128079991105,0,0.07231280046814026,1,0.07231280046814026,1,0.0072095040428415,1,0.11017077153304311,0,0.09167118706302291,0,0.7511147515937066,0,0.12924954678632578,0,0.04357567826030562,1,0.056686263348702026,1,0.0038336111488523686,1,0.000896927441955353,1,0.03779140153406618,1,0.822903231414788,1,0.08142243803969085,1,0.028709727802923357,1,0.02998539755794863,1,0.001612751768738832,1,0.003993065882024416,1,0.032697595918141587,1,0.5100248412416261,0,0.29770650379861596,0,0.10502403026350116,0,0.10728062155971084,0,0.0039266408448251425,1,0.04543380429976496,1,0.04211919447337331,1
113,0.8665863175986077,0.9451264005038819,0.6488558762470308,0,0.17633769281856504,0,0.05708530951249402,1,0.05708530951249402,1,0.0066132815086049485,1,0.09048351759121731,1,0.15086997059641089,0,0.7516060637381613,0,0.12881136331842835,0,0.04330839999014646,1,0.056260324015567936,1,0.0037924450059486497,1,0.0012367473608070334,1,0.03556235368867161,1,0.823586504153374,1,0.08100718857379047,1,0.02833995960725033,1,0.02963876565754585,1,0.0014545494091240466,1,0.004353169933563494,1,0.02690873582430786,1,0.5104545889542824,0,0.2970317151976009,0,0.10391533705881772,0,0.10739408708037575,0,0.0039006407878840743,1,0.045114323789215316,1,0.0404310469029634,1
120,0.8668943824111206,0.9453103154481022,0.6472420837589377,0,0.17758979764996274,0,0.06723697014959151,1,0.06723697014959151,1,0.005904481271829222,1,0.09905068906370151,1,0.0784698062014344,0,0.7519079754713508,0,0.12876083203102162,0,0.04183227782544452,1,0.05736688928302287,1,0.0038750536974800284,1,2.8916587739069577e-05,1,0.04201498942463988,1,0.8231844751370485,1,0.08128655243807459,1,0.027503764767981664,1,0.03063192606801783,1,0.001613990247575317,1,0.003028289326374556,1,0.027465910105063718,1,0.5109146412163902,0,0.2969561378418141,0,0.10357181043341779,0,0.10714926121539965,0,0.004004024072832346,1,0.045413814737770175,1,0.0363473942107696,1
127,0.8667214337444468,0.9451748196587257,0.6363010225721624,0,0.18303507106337702,0,0.06723697014959151,1,0.06723697014959151,1,0.006398797138682383,1,0.08516207299305223,1,0.11494754592917653,0,0.7514811915143346,0,0.12905558686868535,0,0.042104505529351854,1,0.057757970670915246,1,0.0038398158580720265,1,0.00017880695203187358,1,0.04233220850336106,1,0.8214004399495041,1,0.08216919737585787,1,0.028192953709231472,1,0.031699910867847,1,0.0016268328796484044,1,0.0018823556445646261,1,0.027010843584689748,1,0.5099961754107697,0,0.2978042616701876,0,0.10393877919822347,0,0.10876973003717634,0,0.0040304546141992845,1,0.04425407081554811,1,0.04021739274175262,1
134,0.8667700755569487,0.9452295901298375,0.6498647167119297,0,0.17631483135394693,0,0.0715659744785958,1,0.0715659744785958,1,0.00703640932319035,1,0.1072538187047627,0,0.10731278867702487,0,0.7502011706977773,0,0.12973134490414612,0,0.043633919487676254,1,0.05765986332414036,1,0.0038964971684143992,1,6.617266117314724e-05,1,0.036759605288114616,1,0.8241463256443653,1,0.08077106697936659,1,0.028094159422928477,1,0.029357635050442463,1,0.0014451083156943462,1,0.004666600058688131,1,0.029534297123377518,1,0.5109321279271045,0,0.2967543048812809,0,0.10368781415935524,0,0.10679269143081319,0,0.0040757800048386306,1,0.045625868278192816,1,0.04441847751353867,1
