metric,attribute,fold,metric_value,verdict
EOD,SEX,16,0.03955,Pass
EOD,SEX,17,0.023409,Pass
EOD,SEX,18,0.01152,Pass
EOD,SEX,19,0.041101,Pass
TI,SEX,0,0.003156,Pass
TI,SEX,1,0.000695,Pass
TI,SEX,2,0.003116,Pass
TI,SEX,3,0.00472,Pass
TI,SEX,4,0.003557,Pass
TI,SEX,5,0.006017,Pass
TI,SEX,6,0.003156,Pass
TI,SEX,7,0.002372,Pass
TI,SEX,8,0.002074,Pass
TI,SEX,9,0.000807,Pass
TI,SEX,10,0.000499,Pass
TI,SEX,11,0.00611,Pass
TI,SEX,12,0.000644,Pass
TI,SEX,13,0.002583,Pass
TI,SEX,14,0.003841,Pass
TI,SEX,15,6.1e-05,Pass
TI,SEX,16,0.001154,Pass
TI,SEX,17,0.00058,Pass
TI,SEX,18,0.004167,Pass
TI,SEX,19,0.000971,Pass
PP,SEX,0,0.094582,Pass
PP,SEX,1,0.06092,Pass
PP,SEX,2,0.027101,Pass
PP,SEX,3,0.084658,Pass
PP,SEX,4,0.08431,Pass
PP,SEX,5,0.097701,Pass
PP,SEX,6,0.101385,Fail
PP,SEX,7,0.045027,Pass
PP,SEX,8,0.094774,Pass
PP,SEX,9,0.067617,Pass
PP,SEX,10,0.079126,Pass
PP,SEX,11,0.070149,Pass
PP,SEX,12,0.082215,Pass
PP,SEX,13,0.043606,Pass
PP,SEX,14,0.118179,Fail
PP,SEX,15,0.048203,Pass
PP,SEX,16,0.12136,Fail
PP,SEX,17,0.069322,Pass
PP,SEX,18,0.11912,Fail
PP,SEX,19,0.109836,Fail
CAL,SEX,0,0.012163,Pass
CAL,SEX,1,0.009483,Pass
CAL,SEX,2,0.017686,Pass
CAL,SEX,3,0.00681,Pass
CAL,SEX,4,0.009225,Pass
CAL,SEX,5,0.006985,Pass
CAL,SEX,6,0.00979,Pass
CAL,SEX,7,0.010859,Pass
CAL,SEX,8,0.015432,Pass
CAL,SEX,9,0.009643,Pass
CAL,SEX,10,0.005744,Pass
CAL,SEX,11,0.007553,Pass
CAL,SEX,12,0.010788,Pass
CAL,SEX,13,0.005058,Pass
CAL,SEX,14,0.010166,Pass
CAL,SEX,15,0.006893,Pass
CAL,SEX,16,0.005621,Pass
CAL,SEX,17,0.016148,Pass
CAL,SEX,18,0.011121,Pass
CAL,SEX,19,0.008186,Pass
DI,ETHNICITY,0,0.957007,Pass
DI,ETHNICITY,1,0.903735,Pass
DI,ETHNICITY,2,0.905786,Pass
DI,ETHNICITY,3,0.88245,Pass
DI,ETHNICITY,4,0.931402,Pass
DI,ETHNICITY,5,0.900294,Pass
DI,ETHNICITY,6,0.909755,Pass
DI,ETHNICITY,7,0.976316,Pass
DI,ETHNICITY,8,0.920848,Pass
DI,ETHNICITY,9,0.923341,Pass
DI,ETHNICITY,10,0.853174,Pass
DI,ETHNICITY,11,0.826657,Pass
DI,ETHNICITY,12,0.99463,Pass
DI,ETHNICITY,13,0.972184,Pass
DI,ETHNICITY,14,0.843469,Pass
DI,ETHNICITY,15,0.886848,Pass
DI,ETHNICITY,16,0.959956,Pass
DI,ETHNICITY,17,0.989323,Pass
DI,ETHNICITY,18,0.919634,Pass
DI,ETHNICITY,19,0.946497,Pass
SPD,ETHNICITY,0,0.025215,Pass
SPD,ETHNICITY,1,0.056684,Pass
SPD,ETHNICITY,2,0.05921,Pass
SPD,ETHNICITY,3,0.065591,Pass
