k,DI_race,DI_age,pass_DI_race,pass_DI_age
296,0.8937849579147434,0.6837747609536767,1,0
297,0.8138408304498271,0.6773817140052066,1,0
298,0.7268219452279138,0.7027958804942069,0,0
299,0.854719235559415,0.6512334294877384,1,0
300,0.8173383084577114,0.6885754381528516,1,0
301,0.7554676985195156,0.720813319340575,0,0
302,0.7554694229112834,0.7495512253631363,0,0
303,0.8281614948281615,0.7065185201526322,1,0
304,0.791251654245316,0.7016782253176902,0,0
305,0.6717264957264957,0.679302137535449,0,0
306,0.8260727048013111,0.6453480361126033,1,0
307,0.817687074829932,0.6914608846505914,1,0
308,0.844551604045275,0.7016987153860504,1,0
309,0.8410305958132046,0.6778709573067445,1,0
310,0.8088309633178752,0.7014213200469915,1,0
311,0.7533800803322214,0.6918123130268444,0,0
312,0.8279684767120697,0.7082473950569422,1,0
313,0.8242343541944075,0.6973346071775792,1,0
314,0.6759921008087266,0.7039121844352082,0,0
315,0.8433237954009064,0.6999673037078952,1,0
316,0.8467866757971164,0.6875280340186667,1,0
317,0.854281767955801,0.6769049202626407,1,0
318,0.8559945530616534,0.68026438976768,1,0
319,0.8086945969528846,0.7008576926281164,1,0
320,0.7456157635467981,0.680667894663229,0,0
321,0.8623310577374864,0.682444540387874,1,0
322,0.684425159859063,0.6885218435650396,0,0
323,0.8366861472497137,0.6959383062283918,1,0
324,0.8464253712928801,0.7059145588622241,1,0
325,0.8259903051210372,0.6631262741151157,1,0
326,0.8592625013677646,0.7106389490426662,1,0
327,0.866407822835778,0.7340172582658023,1,0
328,0.8140092165898617,0.6863625307491894,1,0
329,0.7718730608988565,0.6965088128153495,0,0
330,0.8295770434385095,0.6984276329687412,1,0
331,0.7207041995231982,0.7222731385620471,0,0
332,0.8608195159138555,0.7141527089771915,1,0
333,0.7415350716121923,0.6546381337753558,0,0
334,0.6284565108094521,0.687610643300426,0,0
335,0.7196541747037751,0.698460660526278,0,0
336,0.8124783169814461,0.7256973999901907,1,0
337,0.6937866706785015,0.687371998676954,0,0
338,0.8062271062271061,0.6996372583518901,1,0
339,0.6951154052603328,0.6646833091759053,0,0
340,0.824747630291209,0.6978065204346956,1,0
341,0.8021361588803582,0.6917091331235816,1,0
342,0.7769398357633652,0.651851435240191,0,0
343,0.7719355898784094,0.695249304003919,0,0
344,0.8149432157800359,0.6979590231213697,1,0
345,0.7597597597597597,0.689169753509855,0,0
346,0.7773934330264489,0.7024541167467334,0,0
347,0.7422680412371134,0.6882418674683006,0,0
348,0.7356296130619548,0.6488761144194692,0,0
349,0.8756955081996756,0.7105026287464532,1,0
350,0.826284136843143,0.6835808005314732,1,0
351,0.7988388969521045,0.697035801014772,0,0
352,0.7925582220120582,0.702814963191111,0,0
353,0.8027536054255016,0.7074679923367032,1,0
354,0.7924405343760184,0.7321932461140004,0,0
355,0.8634374250954022,0.6976286606266905,1,0
356,0.7975726051148677,0.6940451235432226,0,0
357,0.6408977556109726,0.6739317305692851,0,0
358,0.8584791269703793,0.6590897718743604,1,0
359,0.7919527500922849,0.7088103850437982,0,0
360,0.7436596447748864,0.6668848227503635,0,0
361,0.8210889259476271,0.683712705941789,1,0
362,0.8586928764933162,0.6823003299709673,1,0
363,0.7777209434498437,0.7211335119131538,0,0
364,0.7113200187236698,0.6632930903793791,0,0
365,0.8581721098635847,0.6741528215643808,1,0
366,0.8451756292992469,0.6793479574466617,1,0
367,0.7728150651859006,0.7340201559569123,0,0
368,0.690904547726137,0.6997487140551519,0,0
369,0.7961432506887052,0.7078496893354957,0,0
370,0.8189903118377233,0.6849649594334861,1,0
371,0.7685894959435554,0.689214430528735,0,0
372,0.7260128913443831,0.7018783048699954,0,0
373,0.7803571428571427,0.6380750396579075,0,0
374,0.8171758548102633,0.7040571946336962,1,0
375,0.7540084225167099,0.6688135758205033,0,0
376,0.717948717948718,0.6691433112364074,0,0
377,0.4700854700854701,0.6639200449989011,0,0
378,0.8242221615271466,0.698424705351846,1,0
379,0.8045021337126601,0.6897736287776396,1,0
380,0.7936453758694184,0.660017715965404,0,0
381,0.7534718941898915,0.6877171681159957,0,0
382,0.8673535902020703,0.6643003071787411,1,0
383,0.7451978708632261,0.6663422799198115,0,0
384,0.8316034505328141,0.6966686696720494,1,0
385,0.8484174958481101,0.7002234472827983,1,0
386,0.8543058896908134,0.702321891008256,1,0
387,0.7997998475028594,0.6881526189222809,0,0
388,0.7996338543867062,0.6915460127873985,0,0
389,0.8193543554789904,0.7034416435179756,1,0
390,0.6592000000000001,0.7060305997221884,0,0
391,0.7357245337159255,0.7342155400734492,0,0
392,0.8325546927860296,0.645950296929177,1,0
393,0.7347128574750058,0.6725659246773039,0,0
394,0.8108223392408885,0.6808355296582336,1,0
395,0.8127513779234322,0.7157686571695137,1,0
396,0.6376279191813172,0.6927292814936193,0,0
397,0.5662251655629139,0.6705474423588237,0,0
398,0.827185574069847,0.6992373509567665,1,0
399,0.741477480108037,0.6956720911391392,0,0
400,0.8409390235449062,0.7117832415968599,1,0
401,0.8533872380789802,0.7231760327735559,1,0
402,0.7642628205128205,0.6824269644131621,0,0
403,0.7997679945676777,0.6875933437072184,0,0
404,0.5132588504509356,0.6922211482609257,0,0
405,0.8147453783316223,0.6805248810618594,1,0
406,0.7458939969877358,0.6977204781645051,0,0
407,0.8265197634217221,0.7004724393483175,1,0
408,0.6398990447242727,0.6943359606746334,0,0
409,0.8437329168293634,0.6977988865293003,1,0
410,0.8316594384843642,0.6853297021296504,1,0
411,0.7759785870097757,0.6999170829711893,0,0
412,0.7433162822121416,0.7045983250878267,0,0
413,0.6032417195207893,0.7092429156691265,0,0
414,0.8310918764639273,0.7026584459654236,1,0
415,0.7590506838294448,0.7144668788541874,0,0
416,0.7657495590828923,0.7268760317731207,0,0
417,0.7733024869866975,0.6980576970575265,0,0
418,0.8197903014416776,0.7245515259732906,1,0
419,0.7948550368219275,0.694812834224599,0,0
420,0.7908838928241454,0.6739789441647946,0,0
421,0.82875,0.6911127083864684,1,0
422,0.853072674673446,0.6892431641521113,1,0
423,0.7559288537549407,0.6955676296659008,0,0
424,0.8499042122034473,0.6996465820550175,1,0
425,0.8227684346701165,0.7129311993447074,1,0
426,0.8530465949820788,0.6916332765701693,1,0
427,0.8299237693268444,0.7073982598311458,1,0
428,0.7392045454545455,0.6931562113296259,0,0
429,0.6542974079126876,0.6677339754120141,0,0
430,0.6732647309431736,0.685692713911817,0,0
431,0.6814736842105263,0.6716267057508036,0,0
432,0.8570559552587244,0.7115386068669696,1,0
433,0.7723098179453837,0.6697417344990453,0,0
434,0.8333019361590791,0.6939125470351627,1,0
435,0.7523923444976076,0.6943276997115745,0,0
436,0.8061480552070264,0.684925907101992,1,0
437,0.7921426285795553,0.6821934023646877,0,0
438,0.8064249072335645,0.6802849003603196,1,0
439,0.8070063694267516,0.6945395592070814,1,0
440,0.7935613682092556,0.7360595598975505,0,0
441,0.805421854489041,0.6944146154452066,1,0
442,0.7815229345927411,0.7002746898217281,0,0
443,0.8420272160852107,0.7051876613738135,1,0
444,0.844,0.6673444034718757,1,0
445,0.8252098427657023,0.6756157527661519,1,0
446,0.8940698788156415,0.7204519090129622,1,0
447,0.7725872689938399,0.700333858362662,0,0
448,0.8571366175740074,0.6855280312907431,1,0
449,0.773936170212766,0.7021559805024372,0,0
450,0.7768924302788845,0.7129386972830216,0,0
451,0.7138170310367854,0.7181236705161893,0,0
452,0.8044981906463285,0.6673055673385597,1,0
453,0.7718120805369126,0.6962420081371694,0,0
454,0.721425467188179,0.6875357987797286,0,0
455,0.7131210191082803,0.6917536661179293,0,0
456,0.8260869565217391,0.700987164935481,1,0
457,0.7446581907741463,0.6846892533448425,0,0
458,0.8247985499967244,0.727089505000633,1,0
459,0.8470202744214622,0.7137806827822558,1,0
460,0.736551724137931,0.6911658622144855,0,0
461,0.7529521242459248,0.6954211042043459,0,0
462,0.5621621621621621,0.683974837156468,0,0
463,0.697282099343955,0.673598165838955,0,0
464,0.7552592170006418,0.7038307182905348,0,0
465,0.8248279754281622,0.6813482994725979,1,0
466,0.7288223140495868,0.7324783860501191,0,0
467,0.7614109211958262,0.6733480443172564,0,0
468,0.8342602892102337,0.6913321920307064,1,0
469,0.8299566595385973,0.729936423514494,1,0
470,0.7392045454545455,0.6897968215422499,0,0
471,0.8200851989486088,0.6562568193592343,1,0
472,0.7571092937566599,0.731637178635803,0,0
473,0.8134766022380467,0.6618957268585798,1,0
474,0.8351351351351352,0.6879207330096722,1,0
475,0.7729138683046831,0.7001497245167719,0,0
476,0.6375,0.6884081632114578,0,0
477,0.5628440366972476,0.7229600574847155,0,0
478,0.6240566037735849,0.6535801928870787,0,0
