Model,Attribute,Metric,Pass,VFR
HistGradientBoosting,SEX,EOD,500,0.0
HistGradientBoosting,SEX,TI,500,0.0
HistGradientBoosting,SEX,PP,500,0.0
HistGradientBoosting,SEX,CAL,500,0.0
HistGradientBoosting,ETHNICITY,DI,393,0.214
HistGradientBoosting,ETHNICITY,SPD,472,0.056
HistGradientBoosting,ETHNICITY,EOPP,500,0.0
HistGradientBoosting,ETHNICITY,EOD,500,0.0
HistGradientBoosting,ETHNICITY,TI,500,0.0
HistGradientBoosting,ETHNICITY,PP,500,0.0
HistGradientBoosting,ETHNICITY,CAL,500,0.0
HistGradientBoosting,AGE_GROUP,DI,0,0.0
HistGradientBoosting,AGE_GROUP,SPD,0,0.0
HistGradientBoosting,AGE_GROUP,EOPP,0,0.0
HistGradientBoosting,AGE_GROUP,EOD,0,0.0
HistGradientBoosting,AGE_GROUP,TI,500,0.0
HistGradientBoosting,AGE_GROUP,PP,428,0.144
HistGradientBoosting,AGE_GROUP,CAL,440,0.12
Bagging,RACE,DI,18,0.036
Bagging,RACE,SPD,12,0.024
Bagging,RACE,EOPP,237,0.474
Bagging,RACE,EOD,159,0.318
Bagging,RACE,TI,500,0.0
Bagging,RACE,PP,172,0.344
Bagging,RACE,CAL,470,0.06
Bagging,SEX,DI,10,0.02
Bagging,SEX,SPD,2,0.004
Bagging,SEX,EOPP,500,0.0
Bagging,SEX,EOD,500,0.0
Bagging,SEX,TI,500,0.0
Bagging,SEX,PP,500,0.0
Bagging,SEX,CAL,500,0.0
Bagging,ETHNICITY,DI,455,0.09
Bagging,ETHNICITY,SPD,478,0.044
Bagging,ETHNICITY,EOPP,500,0.0
Bagging,ETHNICITY,EOD,500,0.0
Bagging,ETHNICITY,TI,500,0.0
Bagging,ETHNICITY,PP,500,0.0
Bagging,ETHNICITY,CAL,500,0.0
Bagging,AGE_GROUP,DI,0,0.0
Bagging,AGE_GROUP,SPD,0,0.0
Bagging,AGE_GROUP,EOPP,0,0.0
Bagging,AGE_GROUP,EOD,0,0.0
Bagging,AGE_GROUP,TI,500,0.0
Bagging,AGE_GROUP,PP,213,0.426
Bagging,AGE_GROUP,CAL,453,0.094
Extra Trees,RACE,DI,5,0.01
Extra Trees,RACE,SPD,5,0.01
Extra Trees,RACE,EOPP,97,0.194
Extra Trees,RACE,EOD,48,0.096
Extra Trees,RACE,TI,500,0.0
Extra Trees,RACE,PP,158,0.316
Extra Trees,RACE,CAL,33,0.066
Extra Trees,SEX,DI,0,0.0
Extra Trees,SEX,SPD,0,0.0
Extra Trees,SEX,EOPP,499,0.002
Extra Trees,SEX,EOD,231,0.462
Extra Trees,SEX,TI,500,0.0
Extra Trees,SEX,PP,500,0.0
Extra Trees,SEX,CAL,291,0.418
Extra Trees,ETHNICITY,DI,35,0.07
Extra Trees,ETHNICITY,SPD,71,0.142
Extra Trees,ETHNICITY,EOPP,489,0.022
Extra Trees,ETHNICITY,EOD,489,0.022
Extra Trees,ETHNICITY,TI,500,0.0
Extra Trees,ETHNICITY,PP,500,0.0
Extra Trees,ETHNICITY,CAL,352,0.296
Extra Trees,AGE_GROUP,DI,0,0.0
Extra Trees,AGE_GROUP,SPD,0,0.0
Extra Trees,AGE_GROUP,EOPP,0,0.0
Extra Trees,AGE_GROUP,EOD,0,0.0
Extra Trees,AGE_GROUP,TI,500,0.0
Extra Trees,AGE_GROUP,PP,359,0.282
Extra Trees,AGE_GROUP,CAL,2,0.004
Stacking Ensemble,RACE,DI,7,0.014
Stacking Ensemble,RACE,SPD,10,0.02
Stacking Ensemble,RACE,EOPP,183,0.366
Stacking Ensemble,RACE,EOD,131,0.262
Stacking Ensemble,RACE,TI,500,0.0
Stacking Ensemble,RACE,PP,172,0.344
Stacking Ensemble,RACE,CAL,104,0.208
Stacking Ensemble,SEX,DI,0,0.0
Stacking Ensemble,SEX,SPD,0,0.0
Stacking Ensemble,SEX,EOPP,500,0.0
Stacking Ensemble,SEX,EOD,500,0.0
Stacking Ensemble,SEX,TI,500,0.0
Stacking Ensemble,SEX,PP,500,0.0
Stacking Ensemble,SEX,CAL,323,0.354
Stacking Ensemble,ETHNICITY,DI,419,0.162
